Estado,Ano,Animal,Quantidade
AC,2004,Caprino,7021.0
AC,2004,Ovino,42372.0
AC,2004,Galináceos - total,1200690.0
AC,2004,Galináceos - galinhas,425776.0
AC,2004,Codornas,7550.0
AC,2005,Bovino,2313185.0
AC,2005,Bubalino,2421.0
AC,2005,Equino,33368.0
AC,2005,Suíno - total,151073.0
AC,2005,Suíno - matrizes de suínos,0.0
AC,2005,Caprino,8012.0
AC,2005,Ovino,45920.0
AC,2005,Galináceos - total,1150084.0
AC,2005,Galináceos - galinhas,427903.0
AC,2005,Codornas,8846.0
AC,2006,Bovino,2452915.0
AC,2006,Bubalino,3099.0
AC,2006,Equino,50882.0
AC,2006,Suíno - total,168028.0
AC,2006,Suíno - matrizes de suínos,0.0
AC,2006,Caprino,11010.0
AC,2006,Ovino,53673.0
AC,2006,Galináceos - total,1251032.0
AC,2006,Galináceos - galinhas,450760.0
AC,2006,Codornas,7861.0
AC,2007,Bovino,2315798.0
AC,2007,Bubalino,3753.0
AC,2007,Equino,48089.0
AC,2007,Suíno - total,156530.0
AC,2007,Suíno - matrizes de suínos,0.0
AC,2007,Caprino,9762.0
AC,2007,Ovino,51663.0
AC,2007,Galináceos - total,1518835.0
AC,2007,Galináceos - galinhas,561436.0
AC,2007,Codornas,8736.0
AC,2008,Bovino,2425687.0
AC,2008,Bubalino,3774.0
AC,2008,Equino,60668.0
AC,2008,Suíno - total,155861.0
AC,2008,Suíno - matrizes de suínos,0.0
AC,2008,Caprino,15433.0
AC,2008,Ovino,77623.0
AC,2008,Galináceos - total,1691417.0
AC,2008,Galináceos - galinhas,601906.0
AC,2008,Codornas,9110.0
AC,2009,Bovino,2511285.0
AC,2009,Bubalino,3184.0
AC,2009,Equino,68773.0
AC,2009,Suíno - total,156620.0
AC,2009,Suíno - matrizes de suínos,0.0
AC,2009,Caprino,19494.0
AC,2009,Ovino,86084.0
AC,2009,Galináceos - total,1831449.0
AC,2009,Galináceos - galinhas,574427.0
AC,2009,Codornas,9832.0
AC,2010,Bovino,2578460.0
AC,2010,Bubalino,2499.0
AC,2010,Equino,67952.0
AC,2010,Suíno - total,150763.0
AC,2010,Suíno - matrizes de suínos,0.0
AC,2010,Caprino,18203.0
AC,2010,Ovino,81072.0
AC,2010,Galináceos - total,1899049.0
AC,2010,Galináceos - galinhas,547205.0
AC,2010,Codornas,15560.0
AC,2011,Bovino,2549497.0
AC,2011,Bubalino,2584.0
AC,2011,Equino,68114.0
AC,2011,Suíno - total,139518.0
AC,2011,Suíno - matrizes de suínos,0.0
AC,2011,Caprino,17628.0
AC,2011,Ovino,82131.0
AC,2011,Galináceos - total,1914051.0
AC,2011,Galináceos - galinhas,555233.0
AC,2011,Codornas,15520.0
AC,2012,Bovino,2634467.0
AC,2012,Bubalino,2457.0
AC,2012,Equino,65301.0
AC,2012,Suíno - total,139251.0
AC,2012,Suíno - matrizes de suínos,0.0
AC,2012,Caprino,17203.0
AC,2012,Ovino,84419.0
AC,2012,Galináceos - total,1915756.0
AC,2012,Galináceos - galinhas,552079.0
AC,2012,Codornas,14899.0
AC,2013,Bovino,2697489.0
AC,2013,Bubalino,4141.0
AC,2013,Equino,64871.0
AC,2013,Suíno - total,134576.0
AC,2013,Suíno - matrizes de suínos,17101.0
AC,2013,Caprino,15427.0
AC,2013,Ovino,81401.0
AC,2013,Galináceos - total,1986488.0
AC,2013,Galináceos - galinhas,575724.0
AC,2013,Codornas,13143.0
AC,2014,Bovino,2799673.0
AC,2014,Bubalino,3313.0
AC,2014,Equino,76061.0
AC,2014,Suíno - total,128875.0
AC,2014,Suíno - matrizes de suínos,14244.0
AC,2014,Caprino,14904.0
AC,2014,Ovino,88136.0
AC,2014,Galináceos - total,2382847.0
AC,2014,Galináceos - galinhas,546267.0
AC,2014,Codornas,7319.0
AC,2015,Bovino,2916207.0
AC,2015,Bubalino,3257.0
AC,2015,Equino,81699.0
AC,2015,Suíno - total,149776.0
AC,2015,Suíno - matrizes de suínos,16294.0
AC,2015,Caprino,13240.0
AC,2015,Ovino,99479.0
AC,2015,Galináceos - total,2877012.0
AC,2015,Galináceos - galinhas,635435.0
AC,2015,Codornas,6967.0
AC,2016,Bovino,2998969.0
AC,2016,Bubalino,3343.0
AC,2016,Equino,97999.0
AC,2016,Suíno - total,139150.0
AC,2016,Suíno - matrizes de suínos,17734.0
AC,2016,Caprino,12937.0
AC,2016,Ovino,98123.0
AC,2016,Galináceos - total,2885053.0
AC,2016,Galináceos - galinhas,636671.0
AC,2016,Codornas,5150.0
AC,2017,Bovino,2895028.0
AC,2017,Bubalino,3377.0
AC,2017,Equino,94821.0
AC,2017,Suíno - total,142293.0
AC,2017,Suíno - matrizes de suínos,17545.0
AC,2017,Caprino,11679.0
AC,2017,Ovino,88957.0
AC,2017,Galináceos - total,2661715.0
AC,2017,Galináceos - galinhas,668800.0
AC,2017,Codornas,12032.0
AC,2018,Bovino,3303633.0
AC,2018,Bubalino,3461.0
AC,2018,Equino,95229.0
AC,2018,Suíno - total,142980.0
AC,2018,Suíno - matrizes de suínos,17747.0
AC,2018,Caprino,12496.0
AC,2018,Ovino,88223.0
AC,2018,Galináceos - total,2734901.0
AC,2018,Galináceos - galinhas,704125.0
AC,2018,Codornas,6796.0
AM,2003,Bovino,1121009.0
AM,2003,Bubalino,46259.0
AM,2003,Equino,11468.0
AM,2003,Suíno - total,301246.0
AM,2003,Suíno - matrizes de suínos,0.0
AM,2003,Caprino,14035.0
AM,2003,Ovino,62836.0
AM,2003,Galináceos - total,3241526.0
AM,2003,Galináceos - galinhas,1833375.0
AM,2003,Codornas,15088.0
AM,2004,Bovino,1156723.0
AM,2004,Bubalino,48207.0
AM,2004,Equino,11907.0
AM,2004,Suíno - total,290757.0
AM,2004,Suíno - matrizes de suínos,0.0
AM,2004,Caprino,14660.0
AM,2004,Ovino,64308.0
AM,2004,Galináceos - total,3480519.0
AM,2004,Galináceos - galinhas,2023409.0
AM,2004,Codornas,15707.0
AM,2005,Bovino,1197171.0
AM,2005,Bubalino,49891.0
AM,2005,Equino,11909.0
AM,2005,Suíno - total,290410.0
AM,2005,Suíno - matrizes de suínos,0.0
AM,2005,Caprino,14740.0
AM,2005,Ovino,67197.0
AM,2005,Galináceos - total,3934153.0
AM,2005,Galináceos - galinhas,2406616.0
AM,2005,Codornas,15707.0
AM,2006,Bovino,1243358.0
AM,2006,Bubalino,51848.0
AM,2006,Equino,12328.0
AM,2006,Suíno - total,299929.0
AM,2006,Suíno - matrizes de suínos,0.0
AM,2006,Caprino,15315.0
AM,2006,Ovino,69250.0
AM,2006,Galináceos - total,4274620.0
AM,2006,Galináceos - galinhas,2641190.0
AM,2006,Codornas,16817.0
AM,2007,Bovino,1208652.0
AM,2007,Bubalino,43124.0
AM,2007,Equino,12318.0
AM,2007,Suíno - total,155525.0
AM,2007,Suíno - matrizes de suínos,0.0
AM,2007,Caprino,14808.0
AM,2007,Ovino,54793.0
AM,2007,Galináceos - total,3324514.0
AM,2007,Galináceos - galinhas,2365027.0
AM,2007,Codornas,13152.0
AM,2008,Bovino,1312352.0
AM,2008,Bubalino,56831.0
AM,2008,Equino,12339.0
AM,2008,Suíno - total,143664.0
AM,2008,Suíno - matrizes de suínos,0.0
AM,2008,Caprino,16070.0
AM,2008,Ovino,41802.0
AM,2008,Galináceos - total,3682718.0
AM,2008,Galináceos - galinhas,2574982.0
AM,2008,Codornas,17495.0
AM,2009,Bovino,1350816.0
AM,2009,Bubalino,57998.0
AM,2009,Equino,12611.0
AM,2009,Suíno - total,146291.0
AM,2009,Suíno - matrizes de suínos,0.0
AM,2009,Caprino,16381.0
AM,2009,Ovino,43808.0
AM,2009,Galináceos - total,3730602.0
AM,2009,Galináceos - galinhas,2604754.0
AM,2009,Codornas,17734.0
AM,2010,Bovino,1360800.0
AM,2010,Bubalino,63322.0
AM,2010,Equino,12803.0
AM,2010,Suíno - total,99676.0
AM,2010,Suíno - matrizes de suínos,0.0
AM,2010,Caprino,18649.0
AM,2010,Ovino,56285.0
AM,2010,Galináceos - total,4076184.0
AM,2010,Galináceos - galinhas,2801449.0
AM,2010,Codornas,17709.0
AM,2011,Bovino,1439597.0
AM,2011,Bubalino,81851.0
AM,2011,Equino,13685.0
AM,2011,Suíno - total,94435.0
AM,2011,Suíno - matrizes de suínos,0.0
AM,2011,Caprino,21488.0
AM,2011,Ovino,69131.0
AM,2011,Galináceos - total,4415092.0
AM,2011,Galináceos - galinhas,3073011.0
AM,2011,Codornas,18389.0
AM,2012,Bovino,1445739.0
AM,2012,Bubalino,83047.0
AM,2012,Equino,15678.0
AM,2012,Suíno - total,76108.0
AM,2012,Suíno - matrizes de suínos,0.0
AM,2012,Caprino,22599.0
AM,2012,Ovino,71691.0
AM,2012,Galináceos - total,4229647.0
AM,2012,Galináceos - galinhas,2939350.0
AM,2012,Codornas,16557.0
AM,2013,Bovino,1470537.0
AM,2013,Bubalino,85532.0
AM,2013,Equino,15479.0
AM,2013,Suíno - total,66325.0
AM,2013,Suíno - matrizes de suínos,20017.0
AM,2013,Caprino,22328.0
AM,2013,Ovino,68628.0
AM,2013,Galináceos - total,4013855.0
AM,2013,Galináceos - galinhas,2836439.0
AM,2013,Codornas,16820.0
AM,2014,Bovino,1405208.0
AM,2014,Bubalino,80718.0
AM,2014,Equino,22284.0
AM,2014,Suíno - total,71008.0
AM,2014,Suíno - matrizes de suínos,22610.0
AM,2014,Caprino,18709.0
AM,2014,Ovino,54606.0
AM,2014,Galináceos - total,4084167.0
AM,2014,Galináceos - galinhas,3053665.0
AM,2014,Codornas,20605.0
AM,2015,Bovino,1293325.0
AM,2015,Bubalino,81241.0
AM,2015,Equino,25363.0
AM,2015,Suíno - total,62613.0
AM,2015,Suíno - matrizes de suínos,16781.0
AM,2015,Caprino,13767.0
AM,2015,Ovino,47476.0
AM,2015,Galináceos - total,4357501.0
AM,2015,Galináceos - galinhas,3129387.0
AM,2015,Codornas,22410.0
AM,2016,Bovino,1315821.0
AM,2016,Bubalino,75287.0
AM,2016,Equino,27758.0
AM,2016,Suíno - total,65507.0
AM,2016,Suíno - matrizes de suínos,15760.0
AM,2016,Caprino,14113.0
AM,2016,Ovino,44694.0
AM,2016,Galináceos - total,4456817.0
AM,2016,Galináceos - galinhas,2599226.0
AM,2016,Codornas,29065.0
AM,2017,Bovino,1343574.0
AM,2017,Bubalino,78300.0
AM,2017,Equino,27251.0
AM,2017,Suíno - total,77365.0
AM,2017,Suíno - matrizes de suínos,16925.0
AM,2017,Caprino,15210.0
AM,2017,Ovino,41016.0
AM,2017,Galináceos - total,3915586.0
AM,2017,Galináceos - galinhas,2599357.0
AM,2017,Codornas,26210.0
AM,2018,Bovino,1376210.0
AM,2018,Bubalino,85208.0
AM,2018,Equino,28019.0
AM,2018,Suíno - total,76273.0
AM,2018,Suíno - matrizes de suínos,16888.0
AM,2018,Caprino,14669.0
AM,2018,Ovino,41547.0
AM,2018,Galináceos - total,3887275.0
AM,2018,Galináceos - galinhas,2819287.0
AM,2018,Codornas,24765.0
RR,2003,Bovino,423400.0
RR,2003,Bubalino,520.0
RR,2003,Equino,26020.0
RR,2003,Suíno - total,77500.0
RR,2003,Suíno - matrizes de suínos,0.0
RR,2003,Caprino,7780.0
RR,2003,Ovino,0.0
RR,2003,Galináceos - total,1077900.0
RR,2003,Galináceos - galinhas,488800.0
RR,2003,Codornas,0.0
RR,2004,Bovino,459000.0
RR,2004,Bubalino,450.0
RR,2004,Equino,27800.0
RR,2004,Suíno - total,82500.0
RR,2004,Suíno - matrizes de suínos,0.0
RR,2004,Caprino,8960.0
RR,2004,Ovino,0.0
RR,2004,Galináceos - total,1144700.0
RR,2004,Galináceos - galinhas,525500.0
RR,2004,Codornas,0.0
RR,2005,Bovino,507000.0
RR,2005,Bubalino,280.0
RR,2005,Equino,28100.0
RR,2005,Suíno - total,88000.0
RR,2005,Suíno - matrizes de suínos,0.0
RR,2005,Caprino,9930.0
RR,2005,Ovino,0.0
RR,2005,Galináceos - total,1208000.0
RR,2005,Galináceos - galinhas,560000.0
RR,2005,Codornas,0.0
RR,2006,Bovino,508600.0
RR,2006,Bubalino,280.0
RR,2006,Equino,28500.0
RR,2006,Suíno - total,88005.0
RR,2006,Suíno - matrizes de suínos,0.0
RR,2006,Caprino,9945.0
RR,2006,Ovino,0.0
RR,2006,Galináceos - total,1209250.0
RR,2006,Galináceos - galinhas,561000.0
RR,2006,Codornas,0.0
RR,2007,Bovino,481100.0
RR,2007,Bubalino,280.0
RR,2007,Equino,27650.0
RR,2007,Suíno - total,84355.0
RR,2007,Suíno - matrizes de suínos,0.0
RR,2007,Caprino,9790.0
RR,2007,Ovino,0.0
RR,2007,Galináceos - total,1059050.0
RR,2007,Galináceos - galinhas,428050.0
RR,2007,Codornas,0.0
RR,2008,Bovino,476200.0
RR,2008,Bubalino,255.0
RR,2008,Equino,25570.0
RR,2008,Suíno - total,75093.0
RR,2008,Suíno - matrizes de suínos,0.0
RR,2008,Caprino,9128.0
RR,2008,Ovino,0.0
RR,2008,Galináceos - total,1011395.0
RR,2008,Galináceos - galinhas,432005.0
RR,2008,Codornas,0.0
RR,2009,Bovino,475380.0
RR,2009,Bubalino,255.0
RR,2009,Equino,25685.0
RR,2009,Suíno - total,74885.0
RR,2009,Suíno - matrizes de suínos,0.0
RR,2009,Caprino,9080.0
RR,2009,Ovino,0.0
RR,2009,Galináceos - total,1013300.0
RR,2009,Galináceos - galinhas,432800.0
RR,2009,Codornas,0.0
RR,2010,Bovino,577050.0
RR,2010,Bubalino,245.0
RR,2010,Equino,28170.0
RR,2010,Suíno - total,76170.0
RR,2010,Suíno - matrizes de suínos,0.0
RR,2010,Caprino,9245.0
RR,2010,Ovino,0.0
RR,2010,Galináceos - total,1020500.0
RR,2010,Galináceos - galinhas,437000.0
RR,2010,Codornas,0.0
RR,2011,Bovino,651511.0
RR,2011,Bubalino,320.0
RR,2011,Equino,30276.0
RR,2011,Suíno - total,58145.0
RR,2011,Suíno - matrizes de suínos,0.0
RR,2011,Caprino,7433.0
RR,2011,Ovino,0.0
RR,2011,Galináceos - total,865553.0
RR,2011,Galináceos - galinhas,383259.0
RR,2011,Codornas,0.0
RR,2012,Bovino,686491.0
RR,2012,Bubalino,435.0
RR,2012,Equino,28349.0
RR,2012,Suíno - total,37982.0
RR,2012,Suíno - matrizes de suínos,0.0
RR,2012,Caprino,7622.0
RR,2012,Ovino,0.0
RR,2012,Galináceos - total,774799.0
RR,2012,Galináceos - galinhas,349785.0
RR,2012,Codornas,0.0
RR,2013,Bovino,747045.0
RR,2013,Bubalino,460.0
RR,2013,Equino,28548.0
RR,2013,Suíno - total,29751.0
RR,2013,Suíno - matrizes de suínos,11597.0
RR,2013,Caprino,6323.0
RR,2013,Ovino,39681.0
RR,2013,Galináceos - total,605381.0
RR,2013,Galináceos - galinhas,399606.0
RR,2013,Codornas,0.0
RR,2014,Bovino,735962.0
RR,2014,Bubalino,223.0
RR,2014,Equino,29502.0
RR,2014,Suíno - total,28006.0
RR,2014,Suíno - matrizes de suínos,16865.0
RR,2014,Caprino,4368.0
RR,2014,Ovino,31721.0
RR,2014,Galináceos - total,486935.0
RR,2014,Galináceos - galinhas,305672.0
RR,2014,Codornas,28000.0
RR,2015,Bovino,794783.0
RR,2015,Bubalino,461.0
RR,2015,Equino,30399.0
RR,2015,Suíno - total,30533.0
RR,2015,Suíno - matrizes de suínos,18219.0
RR,2015,Caprino,5099.0
RR,2015,Ovino,28398.0
RR,2015,Galináceos - total,510438.0
