Estado,Ano,area_colhida
PE,2022,694196
PE,2023,630478
PI,2003,971323
PI,2004,1032627
PI,2005,1147224
PI,2006,1098456
PI,2007,1174354
PI,2008,1180739
PI,2009,1237217
PI,2010,1220790
PI,2011,1386117
PI,2012,1259127
PI,2013,1312656
PI,2014,1491554
PI,2015,1480523
PI,2016,1343593
PI,2017,1594307
PI,2018,1608186
PI,2019,1618462
PI,2020,1654236
PI,2021,1739147
PI,2022,1882048
PI,2023,1973449
PR,2003,9490042
PR,2004,9662142
PR,2005,9347329
PR,2006,9035310
PR,2007,9336223
PR,2008,9726911
PR,2009,9997588
PR,2010,9708173
PR,2011,9816821
PR,2012,10009301
PR,2013,10305857
PR,2014,10704717
PR,2015,10619322
PR,2016,10704291
PR,2017,10614860
PR,2018,10451016
PR,2019,10639983
PR,2020,10865644
PR,2021,10988227
PR,2022,11489689
PR,2023,11464429
RJ,2003,257470
RJ,2004,267872
RJ,2005,263989
RJ,2006,244654
RJ,2007,219100
RJ,2008,222308
RJ,2009,219007
RJ,2010,218438
RJ,2011,192440
RJ,2012,208737
RJ,2013,188562
RJ,2014,170600
RJ,2015,148284
RJ,2016,123939
RJ,2017,113891
RJ,2018,109210
RJ,2019,113309
RJ,2020,112252
RJ,2021,115790
RJ,2022,113487
RJ,2023,105268
RN,2003,490616
RN,2004,507498
RN,2005,432680
RN,2006,467869
RN,2007,407964
RN,2008,449294
RN,2009,441256
RN,2010,320059
RN,2011,422647
RN,2012,299922
RN,2013,271838
RN,2014,288548
RN,2015,228991
RN,2016,204136
RN,2017,238073
RN,2018,300196
RN,2019,315424
RN,2020,317266
RN,2021,262580
RN,2022,303246
RN,2023,306885
RO,2003,523249
RO,2004,564935
RO,2005,600168
RO,2006,594907
RO,2007,575861
RO,2008,596971
RO,2009,630654
RO,2010,637285
RO,2011,634317
RO,2012,639215
RO,2013,576085
RO,2014,573067
RO,2015,611967
RO,2016,608004
RO,2017,683098
RO,2018,656737
RO,2019,740035
RO,2020,805371
RO,2021,849127
RO,2022,961705
RO,2023,1080130
RR,2003,49494
RR,2004,63348
RR,2005,61762
RR,2006,59084
