Estado,Ano,Rebanho_total
PI,2013,16780346.0
PI,2014,16989518.0
PI,2015,16990821.0
PI,2016,17157335.0
PI,2017,18509242.0
PI,2018,18940603.0
PR,2003,178410579.0
PR,2004,194689704.0
PR,2005,207782139.0
PR,2006,218127909.0
PR,2007,255388805.0
PR,2008,277549467.0
PR,2009,292535362.0
PR,2010,305245495.0
PR,2011,302466364.0
PR,2012,300298515.0
PR,2013,317459915.0
PR,2014,344400020.0
PR,2015,366140583.0
PR,2016,374029834.0
PR,2017,403397138.0
PR,2018,427424461.0
RJ,2003,13990708.0
RJ,2004,17767467.0
RJ,2005,17311838.0
RJ,2006,16630399.0
RJ,2007,15845631.0
RJ,2008,17449529.0
RJ,2009,17434848.0
RJ,2010,18292845.0
RJ,2011,17936284.0
RJ,2012,16033665.0
RJ,2013,16218046.0
RJ,2014,21331157.0
RJ,2015,17742913.0
RJ,2016,15751113.0
RJ,2017,15476206.0
RJ,2018,14694577.0
RN,2003,9210001.0
RN,2004,9853027.0
RN,2005,9577775.0
RN,2006,9606112.0
RN,2007,8970399.0
RN,2008,8859658.0
RN,2009,8923363.0
RN,2010,9030922.0
RN,2011,9439335.0
RN,2012,8777195.0
RN,2013,8554395.0
RN,2014,9575260.0
RN,2015,9908772.0
RN,2016,9743394.0
RN,2017,10231987.0
RN,2018,11160011.0
RO,2003,18138494.0
RO,2004,19089445.0
RO,2005,17765247.0
RO,2006,17666728.0
RO,2007,18309082.0
RO,2008,17997955.0
RO,2009,17213048.0
RO,2010,17885034.0
RO,2011,17150035.0
RO,2012,17254903.0
RO,2013,17500473.0
RO,2014,17758871.0
RO,2015,19634746.0
RO,2016,18833796.0
RO,2017,21774192.0
RO,2018,21619791.0
RR,2003,2101920.0
RR,2004,2248910.0
RR,2005,2401310.0
RR,2006,2405580.0
RR,2007,2090275.0
RR,2008,2029646.0
RR,2009,2031385.0
RR,2010,2148380.0
RR,2011,1996497.0
RR,2012,1885463.0
RR,2013,1868392.0
RR,2014,1667254.0
RR,2015,1770618.0
RR,2016,1772845.0
RR,2017,1828044.0
RR,2018,2171254.0
RS,2003,170023016.0
RS,2004,171329588.0
RS,2005,168762951.0
RS,2006,172328055.0
RS,2007,177391356.0
RS,2008,185031158.0
RS,2009,186209509.0
RS,2010,194208690.0
RS,2011,195026498.0
RS,2012,194983796.0
RS,2013,190955483.0
RS,2014,193157498.0
RS,2015,180347566.0
RS,2016,178513439.0
RS,2017,202188695.0
RS,2018,206514623.0
SC,2003,167587209.0
SC,2004,168427003.0
SC,2005,180653621.0
SC,2006,177574591.0
SC,2007,204085738.0
SC,2008,208673946.0
SC,2009,208550870.0
SC,2010,203471991.0
SC,2011,206506980.0
SC,2012,197673574.0
SC,2013,183390915.0
SC,2014,194936176.0
SC,2015,172684904.0
SC,2016,169076993.0
SC,2017,185642633.0
SC,2018,173165053.0
SE,2003,6677965.0
SE,2004,7206049.0
SE,2005,7831839.0
SE,2006,8375757.0
SE,2007,9272506.0
SE,2008,9463154.0
SE,2009,9786902.0
SE,2010,10146939.0
SE,2011,10529937.0
SE,2012,10519251.0
SE,2013,11320373.0
SE,2014,11612133.0
SE,2015,11741915.0
SE,2016,10256633.0
SE,2017,9360287.0
SE,2018,8392897.0
SP,2003,212942864.0
SP,2004,216577945.0
SP,2005,230660840.0
SP,2006,238682453.0
SP,2007,265427300.0
SP,2008,287472512.0
SP,2009,285331176.0
SP,2010,285474468.0
SP,2011,288378291.0
SP,2012,279039379.0
SP,2013,285833732.0
SP,2014,279775593.0
SP,2015,264355103.0
SP,2016,262955914.0
SP,2017,271435104.0
SP,2018,274788948.0
TO,2003,12701646.0
TO,2004,13028073.0
TO,2005,13255923.0
TO,2006,13472555.0
TO,2007,13450576.0
TO,2008,13420426.0
TO,2009,13627920.0
TO,2010,14188235.0
TO,2011,14209026.0
TO,2012,14000136.0
TO,2013,17004178.0
TO,2014,20025244.0
TO,2015,22513417.0
TO,2016,25247342.0
TO,2017,20578341.0
TO,2018,19111202.0
