Estado,Ano,CO2_bruto,Populacao,Frota_total,Rebanho_total,IDHM,Internacoes_Respiratorias,Area_Desmatada km2
PI,2018,19508262.97408903,3264531,14033596.0,18940603.0,0.699,24519,51680.4
CE,2018,28991951.205059588,9075649,37057901.0,51733698.0,0.739,51774,59131.8
AC,2018,34754042.8644408,869265,3256347.0,7109591.0,0.733,3379,22492.0
ES,2018,31841472.74151465,3972388,22833305.0,61515732.0,0.788,22358,33663.2
RR,2018,25182531.155836973,576568,2582664.0,2171254.0,0.76,3821,10680.6
PE,2018,23355466.200479284,9496294,35527060.0,63897450.0,0.735,43121,52387.0
PB,2018,14683697.23479859,3996496,15210556.0,16185988.0,0.711,20950,27892.8
RN,2018,10427894.61501437,3479010,15195787.0,11160011.0,0.739,11928,20487.6
AL,2018,7998005.942357924,3322820,9748719.0,12021225.0,0.689,12996,23017.7
SE,2018,8440940.436811488,2278308,9087605.0,8392897.0,0.71,8251,17958.2
DF,2018,7155918.539988806,2974703,21407848.0,9600816.0,0.845,16235,3437.0
AP,2018,3271708.496476088,829494,2291561.0,504914.0,0.741,4140,2980.6
