Estado,Ano,Internacoes_Respiratorias
RS,2004,22597
RS,2005,22705
RS,2006,23373
RS,2007,24347
RS,2008,112177
RS,2009,120183
RS,2010,116162
RS,2011,108657
RS,2012,106216
RS,2013,110141
RS,2014,103437
RS,2015,102730
RS,2016,104060
RS,2017,96516
RS,2018,92807
SC,2003,7104
SC,2004,6728
SC,2005,7326
SC,2006,7000
SC,2007,7232
SC,2008,52511
SC,2009,59749
SC,2010,54385
SC,2011,56330
SC,2012,56126
SC,2013,54398
SC,2014,52850
SC,2015,51728
SC,2016,55702
SC,2017,55224
SC,2018,56500
SE,2003,1834
SE,2004,2071
SE,2005,2015
SE,2006,1852
SE,2007,2016
SE,2008,7187
SE,2009,7000
SE,2010,7436
SE,2011,6236
SE,2012,6467
SE,2013,6718
SE,2014,5899
SE,2015,6552
SE,2016,6855
SE,2017,7260
SE,2018,8251
SP,2003,49982
SP,2004,51586
SP,2005,53114
SP,2006,54516
SP,2007,56862
SP,2008,232173
SP,2009,261648
SP,2010,255172
SP,2011,254736
SP,2012,240655
SP,2013,248251
SP,2014,235154
SP,2015,232426
SP,2016,237724
SP,2017,234502
SP,2018,233015
TO,2003,2012
TO,2004,2377
TO,2005,2189
TO,2006,2003
TO,2007,2276
TO,2008,12468
TO,2009,13361
TO,2010,12737
TO,2011,13427
TO,2012,10730
TO,2013,11532
TO,2014,10398
TO,2015,8761
TO,2016,6473
TO,2017,7663
TO,2018,6437
