Estado,Variavel,n,W,p_valor,Normal_5pct,Conclusao
PI,area_colhida,20,0.9516052165213805,0.39211561966022634,Sim,Não rejeita normalidade
PI,area_destinada_colheita,20,0.9601826561331095,0.5475047531936317,Sim,Não rejeita normalidade
PI,chuva_media,20,0.9411416577308269,0.2519735376585629,Sim,Não rejeita normalidade
PI,co2,20,0.9264247848340691,0.131770289665757,Sim,Não rejeita normalidade
PI,consumo_energia_industrial,20,0.9676768915136749,0.7052620545558248,Sim,Não rejeita normalidade
PI,desmat_area,20,0.9156046715399011,0.0815724298558552,Sim,Não rejeita normalidade
PI,frota,20,0.9256728577004585,0.1274446895901905,Sim,Não rejeita normalidade
PI,frp_anual_queimadas,20,0.9196087087794204,0.09738185292863495,Sim,Não rejeita normalidade
PI,rebanho,20,0.8961796111600229,0.03498941434002308,Não,Rejeita normalidade
PI,temp_media,20,0.9568213730284589,0.4824647343547338,Sim,Não rejeita normalidade
PI,venda_comb,20,0.8658744951569796,0.009950742443877584,Não,Rejeita normalidade
PR,area_colhida,20,0.9646839767587927,0.6409987828389898,Sim,Não rejeita normalidade
PR,area_destinada_colheita,20,0.9589450965297025,0.522996287295574,Sim,Não rejeita normalidade
PR,chuva_media,19,0.8840530873680483,0.025275487697673252,Não,Rejeita normalidade
PR,co2,20,0.9540790930849103,0.4332672545485697,Sim,Não rejeita normalidade
PR,consumo_energia_industrial,20,0.9594569203671823,0.5330574216172614,Sim,Não rejeita normalidade
PR,desmat_area,20,0.9702436196207624,0.7600120718944843,Sim,Não rejeita normalidade
PR,frota,20,0.9503124805617416,0.37185786432624035,Sim,Não rejeita normalidade
PR,frp_anual_queimadas,20,0.9566048293179263,0.47844754832107167,Sim,Não rejeita normalidade
PR,rebanho,20,0.9095834142119291,0.06258130056747084,Sim,Não rejeita normalidade
PR,temp_media,19,0.6625791859824465,2.0576428075959003e-05,Não,Rejeita normalidade
PR,venda_comb,20,0.8749427536930842,0.01436694000839896,Não,Rejeita normalidade
RJ,area_colhida,20,0.8773143180101495,0.015835715023604945,Não,Rejeita normalidade
RJ,area_destinada_colheita,20,0.8763488826657062,0.015219516716734362,Não,Rejeita normalidade
RJ,chuva_media,20,0.9090932755414924,0.06125115646810774,Sim,Não rejeita normalidade
RJ,co2,20,0.8760412911609213,0.01502855291815436,Não,Rejeita normalidade
RJ,consumo_energia_industrial,20,0.9243669007727305,0.12026637984444183,Sim,Não rejeita normalidade
RJ,desmat_area,20,0.9475902143869421,0.331986911731773,Sim,Não rejeita normalidade
RJ,frota,20,0.938397179564678,0.22358579870830808,Sim,Não rejeita normalidade
RJ,frp_anual_queimadas,20,0.923255053828903,0.1144752129913662,Sim,Não rejeita normalidade
RJ,rebanho,20,0.9083824937477516,0.05937387604114027,Sim,Não rejeita normalidade
RJ,temp_media,20,0.9589748714819142,0.5235786024937468,Sim,Não rejeita normalidade
RJ,venda_comb,20,0.9386426539719209,0.2259978237010717,Sim,Não rejeita normalidade
RN,area_colhida,20,0.9224954703161025,0.11068079701026895,Sim,Não rejeita normalidade
RN,area_destinada_colheita,20,0.8458252514584175,0.004540938909664372,Não,Rejeita normalidade
RN,chuva_media,20,0.8817318508019314,0.019010476923289735,Não,Rejeita normalidade
RN,co2,20,0.9346612114789798,0.18975550880459785,Sim,Não rejeita normalidade
RN,consumo_energia_industrial,20,0.9054494534683779,0.052235013867611875,Sim,Não rejeita normalidade
RN,desmat_area,20,0.9413858119280838,0.2546542110543698,Sim,Não rejeita normalidade
RN,frota,20,0.9429195869561245,0.2720990112471237,Sim,Não rejeita normalidade
RN,frp_anual_queimadas,20,0.909569835313662,0.06254405137459157,Sim,Não rejeita normalidade
RN,rebanho,20,0.9631007018144768,0.6074758183324471,Sim,Não rejeita normalidade
RN,temp_media,20,0.9017143290433657,0.04441145436905475,Não,Rejeita normalidade
RN,venda_comb,20,0.8787416914079376,0.01679545347964751,Não,Rejeita normalidade
RO,area_colhida,20,0.7585477393719444,0.0002215373604399586,Não,Rejeita normalidade
RO,area_destinada_colheita,20,0.7921755512902149,0.0006619521553477741,Não,Rejeita normalidade
RO,chuva_media,17,0.9327469331397233,0.2418552785593998,Sim,Não rejeita normalidade
RO,co2,20,0.9005010476427964,0.04214083188589732,Não,Rejeita normalidade
RO,consumo_energia_industrial,20,0.9379748740803677,0.21949279013018552,Sim,Não rejeita normalidade
RO,desmat_area,20,0.9060900944888546,0.05371452972464613,Sim,Não rejeita normalidade
RO,frota,20,0.93960987949661,0.23574098974864982,Sim,Não rejeita normalidade
RO,frp_anual_queimadas,20,0.733787069578473,0.0001037331333433782,Não,Rejeita normalidade
RO,rebanho,20,0.895820244862577,0.03445483508431574,Não,Rejeita normalidade
RO,temp_media,17,0.968569587781577,0.7929134245133177,Sim,Não rejeita normalidade
RO,venda_comb,20,0.8894591078867643,0.02628385245449938,Não,Rejeita normalidade
RR,area_colhida,20,0.7625952245826232,0.00025170795686618415,Não,Rejeita normalidade
RR,area_destinada_colheita,20,0.7579441680970893,0.00021737899510717993,Não,Rejeita normalidade
RR,chuva_media,14,0.9367255827100641,0.37797885317012336,Sim,Não rejeita normalidade
RR,co2,20,0.9429247001025165,0.27215893925017204,Sim,Não rejeita normalidade
RR,consumo_energia_industrial,20,0.9555969002223107,0.4600433804906963,Sim,Não rejeita normalidade
RR,desmat_area,20,0.9569378058249187,0.48463382681624545,Sim,Não rejeita normalidade
RR,frota,20,0.9492416635200032,0.35572563319498274,Sim,Não rejeita normalidade
RR,frp_anual_queimadas,20,0.8989461477370908,0.03940642331155256,Não,Rejeita normalidade
RR,rebanho,20,0.9260288899326315,0.12947488742413238,Sim,Não rejeita normalidade
RR,temp_media,14,0.9715886842018281,0.8971622362040095,Sim,Não rejeita normalidade
RR,venda_comb,20,0.8605383730442884,0.008045939707162946,Não,Rejeita normalidade
RS,area_colhida,20,0.9265556272634038,0.1325377952299721,Sim,Não rejeita normalidade
RS,area_destinada_colheita,20,0.8829331492681851,0.01998525229519447,Não,Rejeita normalidade
RS,chuva_media,20,0.9442611037292876,0.2882354823904885,Sim,Não rejeita normalidade
RS,co2,20,0.9729470980270184,0.8154871200683524,Sim,Não rejeita normalidade
RS,consumo_energia_industrial,20,0.9154400806431718,0.08098166439078805,Sim,Não rejeita normalidade
RS,desmat_area,20,0.9559851829282461,0.46707529031131484,Sim,Não rejeita normalidade
RS,frota,20,0.9449389997310894,0.29671010393492286,Sim,Não rejeita normalidade
RS,frp_anual_queimadas,20,0.9498894249149811,0.3654144024122122,Sim,Não rejeita normalidade
RS,rebanho,20,0.8573502797055936,0.007095801348312415,Não,Rejeita normalidade
RS,temp_media,20,0.9073763950148592,0.0568177066890323,Sim,Não rejeita normalidade
RS,venda_comb,20,0.8685968465411016,0.011101588305087146,Não,Rejeita normalidade
SC,area_colhida,20,0.9344557736090995,0.18804480957456887,Sim,Não rejeita normalidade
SC,area_destinada_colheita,20,0.9302798192503983,0.15634343109653692,Sim,Não rejeita normalidade
SC,chuva_media,20,0.9655081442822693,0.6586269709131832,Sim,Não rejeita normalidade
SC,co2,20,0.9572081262787265,0.4896941354639773,Sim,Não rejeita normalidade
SC,consumo_energia_industrial,20,0.9607652441875136,0.559248704376742,Sim,Não rejeita normalidade
SC,desmat_area,20,0.9532122285050156,0.41849257012614033,Sim,Não rejeita normalidade
SC,frota,20,0.9586640933117223,0.5175191236331451,Sim,Não rejeita normalidade
SC,frp_anual_queimadas,20,0.7793945269459815,0.00043263248672965714,Não,Rejeita normalidade
SC,rebanho,20,0.8753787623935304,0.014625774618677444,Não,Rejeita normalidade
SC,temp_media,20,0.8723520933841191,0.012925562475951597,Não,Rejeita normalidade
SC,venda_comb,20,0.9213855953343447,0.10536318739479283,Sim,Não rejeita normalidade
SE,area_colhida,20,0.9552463658266035,0.4537582381173833,Sim,Não rejeita normalidade
SE,area_destinada_colheita,20,0.9149690884587646,0.07931519465086824,Sim,Não rejeita normalidade
SE,chuva_media,20,0.9662130348931656,0.6737642923358341,Sim,Não rejeita normalidade
SE,co2,20,0.943094917680058,0.27416077166641567,Sim,Não rejeita normalidade
SE,consumo_energia_industrial,20,0.9558925235017884,0.4653905631585649,Sim,Não rejeita normalidade
SE,desmat_area,20,0.9611928338273926,0.5679465944793465,Sim,Não rejeita normalidade
SE,frota,20,0.9403554914212602,0.24351744005258585,Sim,Não rejeita normalidade
SE,frp_anual_queimadas,20,0.9187340690191859,0.09368106980516056,Sim,Não rejeita normalidade
SE,rebanho,20,0.976799772402415,0.8864607303989045,Sim,Não rejeita normalidade
SE,temp_media,20,0.9131355336504785,0.0731551694352335,Sim,Não rejeita normalidade
SE,venda_comb,20,0.8710276029575207,0.01224847314352191,Não,Rejeita normalidade
SP,area_colhida,20,0.9201779364532804,0.09986972293419685,Sim,Não rejeita normalidade
SP,area_destinada_colheita,20,0.9146426937043342,0.07818096387987444,Sim,Não rejeita normalidade
SP,chuva_media,20,0.9103837767067806,0.06481774850599561,Sim,Não rejeita normalidade
SP,co2,20,0.9132285800772736,0.0734556250201451,Sim,Não rejeita normalidade
SP,consumo_energia_industrial,20,0.9366858628571455,0.20743292126371893,Sim,Não rejeita normalidade
SP,desmat_area,20,0.9425897493451664,0.2682583263568019,Sim,Não rejeita normalidade
SP,frota,20,0.9487083033144893,0.34790825662190694,Sim,Não rejeita normalidade
SP,frp_anual_queimadas,20,0.7690779283491403,0.00030951628116564315,Não,Rejeita normalidade
SP,rebanho,20,0.7777692219314007,0.0004101989015949443,Não,Rejeita normalidade
SP,temp_media,20,0.9482346438251789,0.3410866443380641,Sim,Não rejeita normalidade
SP,venda_comb,20,0.8678342881064123,0.010765663095388803,Não,Rejeita normalidade
TO,area_colhida,20,0.8917875207365864,0.02900969839609866,Não,Rejeita normalidade
TO,area_destinada_colheita,20,0.8898037938487448,0.02666980038498467,Não,Rejeita normalidade
TO,chuva_media,20,0.8909028493587011,0.027940644057279564,Não,Rejeita normalidade
TO,co2,20,0.8573767717664407,0.007103186909183062,Não,Rejeita normalidade
TO,consumo_energia_industrial,20,0.9422272599829772,0.26409420833930064,Sim,Não rejeita normalidade
TO,desmat_area,20,0.8532746155860969,0.006051111487230782,Não,Rejeita normalidade
TO,frota,20,0.955974261896839,0.466876509328127,Sim,Não rejeita normalidade
TO,frp_anual_queimadas,20,0.8944019068180602,0.032426958239952106,Não,Rejeita normalidade
TO,rebanho,20,0.8120592435004081,0.0013145548044280525,Não,Rejeita normalidade
TO,temp_media,20,0.9361450107757456,0.20256246519397736,Sim,Não rejeita normalidade
TO,venda_comb,20,0.9485633183334717,0.34580815775180607,Sim,Não rejeita normalidade
