Estado,Ano,temp_media,chuva_media
AC,2008,25.775003893474533,851.7
AC,2009,25.24337122761102,1002.4
AC,2010,25.274559279076318,859.5666666666666
AC,2011,24.952547818665597,940.8399999999999
AC,2012,24.88130727696042,1000.0333333333332
AC,2013,24.97347706192028,1510.3999999999999
AC,2014,24.90880935530617,1276.1000000000001
AC,2015,25.463887827615192,1746.9333333333332
AC,2016,25.512228544427163,1396.6000000000001
AC,2017,25.314595959595962,1228.3333333333333
AC,2018,25.08512665032469,1429.0
AC,2019,25.279301438215438,1744.6571428571426
AC,2020,25.62054556567054,967.6
AC,2021,25.05304746746559,1735.1999999999998
AC,2022,25.136090702947847,1583.6999999999998
AC,2023,25.87796977803485,731.8
AL,2003,25.030994073275863,1469.0
AL,2004,25.452812714383718,2546.2000000000003
AL,2005,26.062601914214817,1601.6
AL,2006,25.82156349354778,850.5999999999999
AL,2007,24.852165281052237,235.5
AL,2008,25.25003495392437,497.7
AL,2009,25.681187665668684,1520.7666666666667
AL,2010,25.47703845540131,1271.3666666666668
AL,2011,25.12692472591413,1120.6666666666667
AL,2012,25.106513839492813,799.8666666666668
AL,2013,25.46351913311208,1101.3333333333333
AL,2014,25.22217500633516,955.8666666666667
AL,2015,26.763733645694774,822.6
AL,2016,26.08937456877308,776.2666666666668
AL,2017,25.5963328203082,811.2285714285715
AL,2018,25.70039152542373,642.1999999999999
AL,2019,26.31844310191146,710.8000000000001
AL,2020,26.420175964262366,413.97142857142853
AL,2021,26.00554910779051,255.28000000000003
AL,2022,25.29587377195594,967.0666666666667
AL,2023,26.168713138348195,417.1666666666667
AM,2003,28.105138539042827,306.0
AM,2004,26.71899042645779,1255.4
AM,2005,28.412657647328594,691.0000000000001
AM,2006,28.002425908221795,2067.3999999999996
AM,2007,27.85243539903956,2275.2
AM,2008,26.52221337384529,1396.1066666666666
AM,2009,26.825610990345606,1748.9733333333331
AM,2010,27.01040765653921,1386.4133333333334
AM,2011,26.50032347828798,1951.3249999999998
AM,2012,26.33770758420027,2101.3999999999996
AM,2013,26.407700038024878,2182.1888888888884
AM,2014,26.39774647476984,2063.1555555555556
AM,2015,27.063256662113858,1658.0444444444445
AM,2016,27.083535568274733,1733.588888888889
AM,2017,26.688952624738054,1836.6
AM,2018,26.54967255598296,1289.5043478260868
AM,2019,26.67762377127787,1869.2947368421053
AM,2020,27.108484588392695,955.4117647058823
AM,2021,26.822664112219506,881.8727272727273
AM,2022,26.647007796549207,1312.5882352941176
AM,2023,27.12547452783398,1903.4705882352941
AP,2008,26.338217522658613,336.59999999999997
AP,2009,25.447166571265026,2790.6000000000004
AP,2010,25.701373454863276,3491.2
AP,2011,25.227301255230127,868.4
AP,2012,25.446873932353945,2808.8
AP,2013,26.21420894578789,1296.8
AP,2014,26.26957934435741,1471.6
AP,2015,26.705495630265332,488.1
AP,2016,26.65110684580934,2152.9000000000005
AP,2017,26.805155343120518,1444.2666666666664
AP,2018,26.489851243466777,1664.9333333333334
AP,2019,26.5401347885128,1561.5500000000002
AP,2020,26.82248441414671,2319.2
AP,2021,26.02956497644777,1423.9
AP,2022,26.521219329844357,1075.65
AP,2023,27.10512108187441,1118.65
BA,2003,24.16759684722455,749.5777777777779
BA,2004,24.064532950533916,1262.314285714286
BA,2005,24.080503649498777,943.475
BA,2006,23.84952101077518,622.4888888888889
BA,2007,23.99802528869874,440.3538461538462
BA,2008,23.879397772282644,520.6571428571428
BA,2009,24.71033580561496,907.01
BA,2010,24.483908357205056,932.5
BA,2011,23.940962701255817,928.36
BA,2012,24.531336591249,605.545
BA,2013,24.72720391555959,1006.7299999999999
BA,2014,24.206155551318112,814.12
BA,2015,25.113665959293915,608.9380952380952
BA,2016,25.095007797728307,722.9521739130436
BA,2017,24.708716065963586,667.7
BA,2018,24.726819995473377,810.8291666666668
BA,2019,25.354339252518823,691.0595744680851
BA,2020,24.516644521566683,835.695652173913
BA,2021,24.86441875848623,659.8
BA,2022,24.33148949005254,746.8789473684211
BA,2023,25.257471565734843,488.75813953488375
CE,2003,27.457270899648183,1140.6999999999998
CE,2004,27.01082830403219,1275.6000000000001
CE,2005,27.588140958008015,506.5
CE,2006,27.44359912854031,422.9
CE,2007,26.69534516675054,274.0
CE,2008,26.34462324616749,618.9846153846154
CE,2009,26.099204222993816,1164.2
CE,2010,27.297159171614442,506.3285714285715
CE,2011,26.0927370664669,946.0428571428572
CE,2012,27.236926903874554,416.5857142857143
CE,2013,27.208594130879174,558.0285714285714
CE,2014,26.893286485023765,548.6
CE,2015,27.253086988084068,661.5285714285714
CE,2016,27.654509501302208,457.4571428571429
CE,2017,27.205811598211817,664.5857142857143
CE,2018,26.660630888012655,598.4625
CE,2019,26.7370424449927,606.75
CE,2020,26.631785542196994,639.2428571428571
CE,2021,27.527087531674617,482.7799999999999
CE,2022,27.059848016402512,388.44615384615383
CE,2023,27.032052181105477,725.657142857143
DF,2003,21.306077884265438,991.0
DF,2004,21.054177344951306,1246.8000000000002
DF,2005,21.267114957314934,1637.8
DF,2006,20.887773442118956,1580.2
DF,2007,21.651319957761352,1099.6
DF,2008,21.363104184061598,995.0000000000001
DF,2009,21.128168689948794,1700.4
DF,2010,21.433294663573086,1369.4
DF,2011,20.932338649745613,1551.2
DF,2012,21.267259157978692,1295.7000000000003
DF,2013,21.21541331802526,1560.0
DF,2014,21.39661960218489,1168.2666666666667
DF,2015,22.058824890122597,1225.8
DF,2016,22.184922600619196,1142.7333333333333
DF,2017,21.67629986281841,1045.08
DF,2018,21.48257993384785,1437.44
DF,2019,22.15599050734989,1328.08
DF,2020,21.582999446085672,1875.1599999999999
DF,2021,21.5142086747211,1712.48
