Estado,Ano,co2,frota,rebanho,venda_comb,desmat_area,temp_media,chuva_media,area_destinada_colheita,area_colhida,consumo_energia_industrial,frp_anual_queimadas
AL,2011,8810549.072193861,482355.0,1268304.0,964376.30905579,14307.456264636217,25.144486344417782,2246.8,599116,582528,1627283.0,8580.1
AL,2012,8488083.270067455,540763.0,1221266.0,1026183.21243872,13153.796638488764,25.1455919395466,1188.6,527082,502775,1945027.0,15711.2
AL,2013,8493127.961314432,597496.0,1251723.0,1063545.136201066,11994.882470037834,25.4087080901705,1766.2,578948,546208,2072949.0,9022.6
AL,2014,8598414.246894466,652742.0,1253121.0,1127900.162085,11445.688707623309,25.164904669482816,1685.8000000000002,567446,540405,2127647.0,4425.0
AL,2015,8561234.469237193,697027.0,1255696.0,1110841.707748811,12376.988007495149,25.562996802192778,1402.0,461581,428604,2055743.0,21367.8
AL,2016,8485819.979261182,731641.0,1189985.0,1089727.33501,11759.077101928715,25.603904826958107,1214.6,455548,404493,2041443.0,17764.1
AL,2017,9074095.964912504,768195.0,1208404.0,1074484.45823,12789.149935040297,25.406210754652356,2512.2,521140,481571,1970954.0,4305.8
AL,2018,7998005.942357924,809880.0,1247619.0,1050405.56734,12072.730763592495,25.360625785086217,1427.1999999999998,449703,409887,1667385.215,6490.1
AL,2019,8191827.253204289,863322.0,1233394.0,1068252.27979,12337.436731121845,25.686301369863013,1520.6000000000001,490459,461101,1019567.299,8029.400000000001
AL,2020,8635575.037299357,902633.0,1290414.0,1036743.16395,13641.460256018052,,,464077,442350,728269.2250000001,6251.7
AL,2021,9517384.75709146,951647.0,1321236.0,1107331.7553,14254.944392120342,,,508836,468136,1293936.7719999999,5458.3
AL,2022,9291422.57242207,1002075.0,1335493.0,1172554.20288,16553.41106704712,,,491705,424033,1537221.573,5451.8
AL,2023,10508940.506028544,1061065.0,1437589.0,1223176.50885,19841.7956614136,,,482001,439948,1730015.772,9457.0
AM,2004,66312347.85298964,265944.0,1156723.0,1744855.597488,99111.53178783544,,,181457,175371,1323256.379,436768.0
AM,2005,73270193.26245187,300071.0,1197171.0,1816585.769208,112934.19741412948,,,210503,206139,1413683.446,978434.5
AM,2006,70984030.62883371,333556.0,1243358.0,1887796.77489,106250.25660737255,28.002425908221795,2067.3999999999996,209508,203221,1533970.6510000003,714936.3
AM,2007,52489278.50882132,371392.0,1208652.0,2313306.75017038,72498.83983610848,27.85243539903956,2275.2,183247,173080,1584036.0,608830.3
AM,2008,45357162.5611882,416160.0,1312352.0,2433136.85495846,60079.83381779794,27.152420670897552,2022.3999999999999,181694,180099,1663361.0,378391.6
AM,2009,46849313.77712411,462789.0,1350816.0,2735685.9052426,66945.17765838017,29.728352490421457,0.6,184691,183826,1480710.0,407822.9
AM,2010,58537702.16566311,518880.0,1360800.0,3159996.02484785,83401.45335917344,27.33096798588354,1703.9999999999998,176815,142858,1651843.0,635055.3
AM,2011,43011745.61974986,577206.0,1439597.0,2761219.9747996,52281.23607467039,27.474739970282318,2450.6,188120,164095,1775360.0,197535.6
AM,2012,44351366.50718324,630512.0,1445739.0,2751413.8044878,54977.377746929895,27.40848422730896,2131.6000000000004,188131,153148,1816286.0,497894.0
