Estado,Variavel,Metodo,n,Coeficiente,p_valor,Significativo_5pct,Direcao,Forca,Conclusao
PI,Frota_total,Pearson,16,0.11036481986615077,0.6840843940254475,Não,Positiva,Muito fraca,Sem evidência de correlação linear significativa
PI,Internacoes_Respiratorias,Pearson,16,0.17655756696665403,0.5130396424825432,Não,Positiva,Muito fraca,Sem evidência de correlação linear significativa
PI,Populacao,Pearson,16,0.12298090112362892,0.6500094727489467,Não,Positiva,Muito fraca,Sem evidência de correlação linear significativa
PI,Rebanho_total,Pearson,16,-0.42113127998628663,0.10427308851700845,Não,Negativa,Moderada,Sem evidência de correlação linear significativa
PR,Area_Desmatada km2,Pearson,16,0.21183742448427617,0.43092132595609073,Não,Positiva,Fraca,Sem evidência de correlação linear significativa
PR,Frota_total,Pearson,16,0.4104756773788913,0.11427855954592693,Não,Positiva,Moderada,Sem evidência de correlação linear significativa
PR,Internacoes_Respiratorias,Pearson,16,0.11786645897095327,0.6637493729229306,Não,Positiva,Muito fraca,Sem evidência de correlação linear significativa
PR,Populacao,Pearson,16,0.36757122977437706,0.16132542054761234,Não,Positiva,Fraca,Sem evidência de correlação linear significativa
PR,Rebanho_total,Pearson,16,0.34114708482308054,0.19597364075471163,Não,Positiva,Fraca,Sem evidência de correlação linear significativa
RJ,Area_Desmatada km2,Pearson,16,0.886812959938595,4.7082329811112774e-06,Sim,Positiva,Muito forte,Correlação linear significativa
RJ,Frota_total,Pearson,16,0.8269460523905499,7.783248521444333e-05,Sim,Positiva,Muito forte,Correlação linear significativa
RJ,Internacoes_Respiratorias,Pearson,16,0.7844627571857007,0.0003206667077379256,Sim,Positiva,Forte,Correlação linear significativa
RJ,Populacao,Pearson,16,0.8233931922485846,8.883593664423393e-05,Sim,Positiva,Muito forte,Correlação linear significativa
RJ,Rebanho_total,Pearson,16,0.27163555417313107,0.30881794325435025,Não,Positiva,Fraca,Sem evidência de correlação linear significativa
RN,Area_Desmatada km2,Pearson,16,0.7608579118976782,0.000620024568171001,Sim,Positiva,Forte,Correlação linear significativa
RN,Frota_total,Pearson,16,0.7486534823996993,0.0008478410892347046,Sim,Positiva,Forte,Correlação linear significativa
RN,Internacoes_Respiratorias,Pearson,16,0.4724020480400484,0.06464268937785253,Não,Positiva,Moderada,Sem evidência de correlação linear significativa
RN,Populacao,Pearson,16,0.7854702417192055,0.00031121914956969246,Sim,Positiva,Forte,Correlação linear significativa
RN,Rebanho_total,Pearson,16,0.10564009644924532,0.6969981842919111,Não,Positiva,Muito fraca,Sem evidência de correlação linear significativa
RO,Area_Desmatada km2,Pearson,16,-0.7336253544907332,0.0012183278912457696,Sim,Negativa,Forte,Correlação linear significativa
RO,Frota_total,Pearson,16,-0.5731380684235996,0.020296057187030692,Sim,Negativa,Moderada,Correlação linear significativa
RO,Internacoes_Respiratorias,Pearson,16,-0.8071357314076655,0.00015714226848950893,Sim,Negativa,Muito forte,Correlação linear significativa
RO,Populacao,Pearson,16,-0.29655037930850653,0.2647204513116691,Não,Negativa,Fraca,Sem evidência de correlação linear significativa
RO,Rebanho_total,Pearson,16,0.10940384060866601,0.6867044719589177,Não,Positiva,Muito fraca,Sem evidência de correlação linear significativa
RR,Area_Desmatada km2,Pearson,16,0.0359393575924523,0.8948753631699682,Não,Positiva,Muito fraca,Sem evidência de correlação linear significativa
RR,Frota_total,Pearson,16,0.15534778884241301,0.5656352166746906,Não,Positiva,Muito fraca,Sem evidência de correlação linear significativa
RR,Internacoes_Respiratorias,Pearson,16,-0.19679158543951622,0.4650823582366921,Não,Negativa,Muito fraca,Sem evidência de correlação linear significativa
RR,Populacao,Pearson,16,0.1537336928815937,0.5697296704548789,Não,Positiva,Muito fraca,Sem evidência de correlação linear significativa
RR,Rebanho_total,Pearson,16,-0.19651095837510246,0.46573191217636234,Não,Negativa,Muito fraca,Sem evidência de correlação linear significativa
RS,Area_Desmatada km2,Pearson,16,0.04184407792229224,0.877715932944567,Não,Positiva,Muito fraca,Sem evidência de correlação linear significativa
RS,Frota_total,Pearson,16,0.07467043790583243,0.7834417956612363,Não,Positiva,Muito fraca,Sem evidência de correlação linear significativa
RS,Internacoes_Respiratorias,Pearson,16,0.2875144116715128,0.2802425150219868,Não,Positiva,Fraca,Sem evidência de correlação linear significativa
RS,Populacao,Pearson,16,-0.1301670365059699,0.6308820573650749,Não,Negativa,Muito fraca,Sem evidência de correlação linear significativa
RS,Rebanho_total,Pearson,16,0.14132260439546976,0.6016229392337858,Não,Positiva,Muito fraca,Sem evidência de correlação linear significativa
SC,Area_Desmatada km2,Pearson,16,0.5980034822682725,0.014414018209704527,Sim,Positiva,Moderada,Correlação linear significativa
SC,Frota_total,Pearson,16,0.7145526965998015,0.0018689063636632632,Sim,Positiva,Forte,Correlação linear significativa
SC,Internacoes_Respiratorias,Pearson,16,0.44921971046110243,0.08088599484633949,Não,Positiva,Moderada,Sem evidência de correlação linear significativa
SC,Populacao,Pearson,16,0.7582513216412202,0.0006638662670043543,Sim,Positiva,Forte,Correlação linear significativa
SC,Rebanho_total,Pearson,16,-0.39679901506272935,0.12807838303158528,Não,Negativa,Fraca,Sem evidência de correlação linear significativa
SE,Area_Desmatada km2,Pearson,16,0.9342675617918084,1.1935803279885396e-07,Sim,Positiva,Muito forte,Correlação linear significativa
SE,Frota_total,Pearson,16,0.8111160392459339,0.00013734314958672712,Sim,Positiva,Muito forte,Correlação linear significativa
SE,Internacoes_Respiratorias,Pearson,16,0.8629641823697136,1.6807362286894244e-05,Sim,Positiva,Muito forte,Correlação linear significativa
SE,Populacao,Pearson,16,0.805540887189109,0.00016571379711073623,Sim,Positiva,Muito forte,Correlação linear significativa
SE,Rebanho_total,Pearson,16,0.911932354753709,8.706329309133956e-07,Sim,Positiva,Muito forte,Correlação linear significativa
SP,Area_Desmatada km2,Pearson,16,0.5409231838512562,0.030493192820404975,Sim,Positiva,Moderada,Correlação linear significativa
SP,Frota_total,Pearson,16,0.5104403895064233,0.04335486870092961,Sim,Positiva,Moderada,Correlação linear significativa
SP,Internacoes_Respiratorias,Pearson,16,0.5895780331642192,0.016233890481851324,Sim,Positiva,Moderada,Correlação linear significativa
SP,Populacao,Pearson,16,0.36874437528127124,0.15988967868430892,Não,Positiva,Fraca,Sem evidência de correlação linear significativa
SP,Rebanho_total,Pearson,16,0.6086915637620893,0.0123392654202765,Sim,Positiva,Forte,Correlação linear significativa
TO,Area_Desmatada km2,Pearson,16,0.19696711954012872,0.46467628546678985,Não,Positiva,Muito fraca,Sem evidência de correlação linear significativa
TO,Frota_total,Pearson,16,0.22309222985563681,0.4062415867592373,Não,Positiva,Fraca,Sem evidência de correlação linear significativa
TO,Internacoes_Respiratorias,Pearson,16,-0.26230873700857404,0.3263692467993635,Não,Negativa,Fraca,Sem evidência de correlação linear significativa
TO,Populacao,Pearson,16,0.38671733871823166,0.13895890388635324,Não,Positiva,Fraca,Sem evidência de correlação linear significativa
TO,Rebanho_total,Pearson,16,0.4331837850901017,0.09371894617187183,Não,Positiva,Moderada,Sem evidência de correlação linear significativa
