Regiao,Ano,chuva_media
Norte,2003,1395.9500000000003
Norte,2004,1368.2333333333333
Norte,2005,1454.6666666666667
Norte,2006,1731.5777777777776
Norte,2007,1367.0083333333332
Norte,2008,1059.5024269005846
Norte,2009,1935.2316666666666
Norte,2010,1449.6459732664994
Norte,2011,1576.5800340136054
Norte,2012,1610.9478260869564
Norte,2013,1706.1238785369221
Norte,2014,1457.1873360938578
Norte,2015,1037.0250566893424
Norte,2016,1517.3736507936508
Norte,2017,1414.8400000000001
Norte,2018,1403.55860581189
Norte,2019,1746.2190242888325
Nordeste,2003,1015.2347222222222
Nordeste,2004,1300.7904761904763
Nordeste,2005,979.5194444444444
Nordeste,2006,710.7765432098765
Nordeste,2007,394.4452421652422
Nordeste,2008,719.3005741480741
Nordeste,2009,1250.237682379349
Nordeste,2010,837.9496825396826
Nordeste,2011,1035.8618539404065
Nordeste,2012,575.5284363686995
Nordeste,2013,819.3679692286271
Nordeste,2014,802.1382191590086
Nordeste,2015,646.0181230854915
Nordeste,2016,608.8355179313016
Nordeste,2017,715.5009395976115
Nordeste,2018,671.1081334243099
Nordeste,2019,731.89540931727
Centro-Oeste,2003,1027.2738095238096
Centro-Oeste,2004,1243.317857142857
Centro-Oeste,2005,1136.2714285714285
Centro-Oeste,2006,939.0010416666667
Centro-Oeste,2007,954.0472222222222
Centro-Oeste,2008,1115.2519886363636
Centro-Oeste,2009,1394.9119648093842
Centro-Oeste,2010,1069.3606916407869
Centro-Oeste,2011,1298.8186233766235
Centro-Oeste,2012,1228.7806178026767
Centro-Oeste,2013,1437.8330500381971
Centro-Oeste,2014,1214.5869397759104
Centro-Oeste,2015,1137.8454481792717
Centro-Oeste,2016,1058.5819582378406
Centro-Oeste,2017,1118.4073015873016
Centro-Oeste,2018,1263.3308974358974
Centro-Oeste,2019,1120.9593356643356
Sudeste,2003,858.7233333333334
Sudeste,2004,799.8444444444444
Sudeste,2005,1233.7293650793652
Sudeste,2006,641.2988461538462
Sudeste,2007,909.0308452380953
Sudeste,2008,1388.4696231211317
Sudeste,2009,1475.1816622458002
Sudeste,2010,1278.029697327044
Sudeste,2011,1348.7754399979713
Sudeste,2012,1212.7382131123059
Sudeste,2013,1429.385715352449
Sudeste,2014,910.7087495927012
Sudeste,2015,1044.9579717101894
Sudeste,2016,1158.982297979798
Sudeste,2017,998.5148340238607
Sudeste,2018,1277.1366315701043
Sudeste,2019,1193.0639781859932
Sul,2003,762.9333333333334
Sul,2004,871.02
Sul,2005,1017.7733333333334
Sul,2006,614.3513888888889
Sul,2007,1150.1507692307694
Sul,2008,1338.3256854256854
Sul,2009,1771.871128802398
Sul,2010,1548.0555555555557
Sul,2011,1608.7122981366458
Sul,2012,1355.6740853897375
Sul,2013,1605.1074904652935
Sul,2014,1653.68341633559
Sul,2015,1768.5406673754499
Sul,2016,1413.715628815629
Sul,2017,1665.293450993451
Sul,2018,1422.5435246923619
Sul,2019,1454.9852952602953
