Regiao,Ano,temp_media
Norte,2003,26.578518796053455
Norte,2004,26.406339839612645
Norte,2005,26.885198832650413
Norte,2006,27.06499973329066
Norte,2007,26.529106217121605
Norte,2008,26.38884534293336
Norte,2009,26.295894599489746
Norte,2010,26.689294824465446
Norte,2011,26.141166966760125
Norte,2012,26.15843592838463
Norte,2013,26.210492365104148
Norte,2014,26.17390316915541
Norte,2015,26.685760332158758
Norte,2016,26.788219219948044
Norte,2017,26.393127952523727
Norte,2018,26.12265666911261
Norte,2019,26.360421924390742
Nordeste,2003,25.332093815866184
Nordeste,2004,25.238674923714772
Nordeste,2005,25.516703683694498
Nordeste,2006,25.22762654622396
Nordeste,2007,25.604166162798798
Nordeste,2008,25.333333652251998
Nordeste,2009,25.63991225460285
Nordeste,2010,25.965940365730333
Nordeste,2011,25.321901702670562
Nordeste,2012,25.947740343175813
Nordeste,2013,26.09940276236572
Nordeste,2014,25.68263990570424
Nordeste,2015,26.401480188551876
Nordeste,2016,26.444316923681516
Nordeste,2017,26.007076973368264
Nordeste,2018,25.869296174970764
Nordeste,2019,26.220977278434443
Centro-Oeste,2003,23.975583932958383
Centro-Oeste,2004,24.245074938921253
Centro-Oeste,2005,24.349682153281723
Centro-Oeste,2006,24.377781237773576
Centro-Oeste,2007,24.396341953223963
Centro-Oeste,2008,23.955438010897947
Centro-Oeste,2009,24.047263045321873
Centro-Oeste,2010,24.148860266180897
Centro-Oeste,2011,23.845393903171864
Centro-Oeste,2012,24.16756364242653
Centro-Oeste,2013,23.89052225769197
Centro-Oeste,2014,24.15443238347142
Centro-Oeste,2015,24.651929934678684
Centro-Oeste,2016,24.219180767806904
Centro-Oeste,2017,24.304008216773845
Centro-Oeste,2018,23.740367247301624
Centro-Oeste,2019,24.672043102276284
Sudeste,2003,22.168921890766086
Sudeste,2004,22.132840447234827
Sudeste,2005,21.83909554796124
Sudeste,2006,21.614810791716344
Sudeste,2007,21.870645462805427
Sudeste,2008,21.44261619953159
Sudeste,2009,22.028014244171313
Sudeste,2010,21.807788234840064
Sudeste,2011,21.337553840780046
Sudeste,2012,21.8598859537335
Sudeste,2013,21.533234245914
Sudeste,2014,21.998378787993115
Sudeste,2015,22.559432999635572
Sudeste,2016,22.20137598355957
Sudeste,2017,21.99352532353411
Sudeste,2018,22.01009153284481
Sudeste,2019,22.585149834834365
Sul,2003,18.732559952313267
Sul,2004,19.478805020328796
Sul,2005,18.575694107312113
Sul,2006,19.478416165453204
Sul,2007,18.900082036316473
Sul,2008,18.28982058790822
Sul,2009,18.705347111561803
Sul,2010,18.527300683334254
Sul,2011,18.3527824294033
Sul,2012,19.23746547269338
Sul,2013,18.390850443189542
Sul,2014,19.499647479759098
Sul,2015,19.35286794096625
Sul,2016,18.487103637720512
Sul,2017,19.31331275807118
Sul,2018,18.86808352650672
Sul,2019,19.39690390732912
