Estado,Ano,consumo_energia_industrial
PA,2004,9147098.528
PA,2005,9390172.033
PA,2006,9886671.615
PA,2007,10360895.0
PA,2008,10587526.0
PA,2009,10328045.0
PA,2010,10925228.0
PA,2011,11697322.0
PA,2012,11553793.0
PA,2013,11425188.0
PA,2014,12085275.0
PA,2015,12349177.357
PA,2016,12671931.6
PA,2017,12765877.0
PA,2018,10622283.298999999
PA,2019,10818625.102
PA,2020,11944002.908999998
PA,2021,12969276.958
PA,2022,13071569.783000002
PA,2023,13919072.659
PB,2004,1019872.3600000001
PB,2005,1091125.18
PB,2006,1146920.1840000001
PB,2007,1244318.0
PB,2008,1271962.0
PB,2009,1243382.0
PB,2010,1392310.0
PB,2011,1328045.0
PB,2012,1409207.0
PB,2013,1459806.0
PB,2014,1474953.883
PB,2015,1465170.0
PB,2016,1460431.0
PB,2017,1446414.0
PB,2018,1451307.914
PB,2019,1441198.5250000001
PB,2020,1392518.4370000002
PB,2021,1447420.545
PB,2022,1368484.346
PB,2023,1278593.1629999997
PE,2004,2226286.092
PE,2005,2311217.261
PE,2006,2336169.1169999996
PE,2007,2611771.0
PE,2008,2672696.0
PE,2009,2573345.0
PE,2010,2872920.0
PE,2011,2989830.0
PE,2012,3150897.0
PE,2013,3451378.8000000003
PE,2014,3641551.6999999997
PE,2015,3824663.937
PE,2016,3865204.49
PE,2017,3746260.2630000003
PE,2018,3656633.0
PE,2019,3720773.87
PE,2020,3595996.0399999996
PE,2021,3976231.6010000003
PE,2022,3827843.6309999996
PE,2023,3800530.3059999994
PI,2004,181344.0
PI,2005,206179.0
PI,2006,212393.0
PI,2007,229139.0
PI,2008,235932.0
PI,2009,231370.0
PI,2010,251424.0
PI,2011,245272.0
PI,2012,227822.0
PI,2013,268597.0
PI,2014,288925.0
PI,2015,270795.0
PI,2016,237443.0
PI,2017,209211.0
PI,2018,205905.0
PI,2019,207942.044
PI,2020,191436.85
PI,2021,221627.42199999996
PI,2022,220829.259
PI,2023,224390.35199999998
PR,2004,8994027.222000001
PR,2005,9099824.503999999
PR,2006,9453578.273
PR,2007,9836781.0
PR,2008,10476307.0
PR,2009,9967165.0
PR,2010,10649499.0
PR,2011,11058411.0
PR,2012,11356199.215000002
PR,2013,11879150.0
PR,2014,12108057.0
PR,2015,11867609.65
PR,2016,11953546.800999997
PR,2017,12401714.469999999
PR,2018,12725075.502
PR,2019,12882936.241
PR,2020,12815263.175999999
PR,2021,13891387.105
PR,2022,14368316.433000002
PR,2023,14327094.77
RJ,2004,9093214.697000002
RJ,2005,9378177.637
RJ,2006,9140637.143000001
RJ,2007,9463105.0
RJ,2008,9443417.0
RJ,2009,8119517.7
RJ,2010,9517035.0
RJ,2011,8937740.0
RJ,2012,9073326.0
RJ,2013,9287161.0
RJ,2014,8809155.0
RJ,2015,8798102.24
RJ,2016,8384824.94
RJ,2017,8209542.87
RJ,2018,8332276.927000001
RJ,2019,7986294.713
RJ,2020,8017199.881999999
RJ,2021,8607811.485
RJ,2022,8388971.669
RJ,2023,8284247.802
RN,2004,1019123.4519999999
RN,2005,1114919.019
RN,2006,1174941.465
RN,2007,1254113.0
RN,2008,1200488.0
RN,2009,1152401.0
RN,2010,1263275.0
RN,2011,1245089.0
RN,2012,1238885.0
RN,2013,1287802.0
RN,2014,1322792.0
RN,2015,1289427.0
RN,2016,1248811.0
RN,2017,1216382.0
RN,2018,1207491.0
RN,2019,1201375.0
RN,2020,1185538.0
RN,2021,1273557.0
RN,2022,1255870.0
RN,2023,1249376.0
RO,2004,220928.0
RO,2005,238171.0
RO,2006,231497.0
RO,2007,271057.0
RO,2008,300800.0
RO,2009,320707.0
RO,2010,394081.0
RO,2011,432199.0
RO,2012,567555.0
RO,2013,598583.0
RO,2014,552977.0
RO,2015,450399.0
RO,2016,414072.0
RO,2017,423850.0
RO,2018,450439.673
RO,2019,455364.842
RO,2020,471414.824
RO,2021,446911.056
RO,2022,485850.766
RO,2023,525656.849
RR,2004,18955.709000000003
RR,2005,13052.631000000001
RR,2006,14262.889000000001
RR,2007,14663.0
RR,2008,15420.0
RR,2009,15138.0
RR,2010,17101.0
RR,2011,15802.0
RR,2012,18643.0
RR,2013,18060.0
RR,2014,20091.0
RR,2015,22804.489999999998
RR,2016,26034.0
RR,2017,24131.0
RR,2018,28663.150999999998
RR,2019,22761.917
RR,2020,22596.0
RR,2021,22008.323
RR,2022,24616.285000000003
RR,2023,30815.674000000003
RS,2004,9091191.399
RS,2005,8889816.926
RS,2006,9054032.608
RS,2007,9568481.0
RS,2008,9873840.0
RS,2009,9040880.0
RS,2010,10166640.292
RS,2011,10594743.0
RS,2012,10248188.0
RS,2013,10665149.0
RS,2014,10474837.0
RS,2015,9952732.789
RS,2016,9791927.67
RS,2017,10178162.81
RS,2018,10157566.411999999
RS,2019,10076824.657000002
RS,2020,9338691.597000001
RS,2021,10340162.782000002
RS,2022,10084066.304000001
RS,2023,10089551.065
SC,2004,6976756.204
SC,2005,7184961.386999999
SC,2006,7398104.888
SC,2007,7975151.0
SC,2008,8374998.0
SC,2009,7955067.0
SC,2010,8759560.0
SC,2011,8968811.0
SC,2012,9311846.0
SC,2013,9790268.0
SC,2014,9986131.0
SC,2015,9467443.0
SC,2016,9465885.0
SC,2017,9991632.0
SC,2018,10251563.333999999
SC,2019,10613889.857000003
SC,2020,10577829.521
SC,2021,11551373.676000003
SC,2022,11581460.620000001
SC,2023,11705413.988
SE,2004,1125699.552
SE,2005,1233395.465
SE,2006,1275359.3409999998
SE,2007,1368946.0
SE,2008,1381043.0
SE,2009,1366615.0
SE,2010,1471470.0
SE,2011,1545676.0
SE,2012,1572592.0
SE,2013,1629443.0
SE,2014,1595969.0
SE,2015,1504383.0
SE,2016,1400256.0
SE,2017,1295733.0
SE,2018,1247469.99
SE,2019,1087413.1409999998
SE,2020,1044905.02
SE,2021,1189223.606
SE,2022,1147825.956
SE,2023,1146764.8509999998
SP,2004,46824546.686000004
SP,2005,47953062.72099999
SP,2006,50029503.546000004
SP,2007,53451769.0
SP,2008,54032831.0
SP,2009,50610669.0
SP,2010,54779982.0
SP,2011,55989265.0
SP,2012,55628351.0
SP,2013,55550416.0
SP,2014,52253786.0
SP,2015,48892879.12
SP,2016,46507847.0
SP,2017,47484654.0
SP,2018,48795069.582
SP,2019,47635628.823
SP,2020,45960241.454
SP,2021,51288795.07
SP,2022,51455883.828
SP,2023,50027115.409
TO,2004,111022.195
TO,2005,108262.848
TO,2006,104363.321
TO,2007,125249.0
TO,2008,140691.0
TO,2009,154546.0
TO,2010,205812.0
TO,2011,232439.0
TO,2012,238127.0
TO,2013,275500.0
TO,2014,308819.0
TO,2015,316715.0
TO,2016,290044.0
TO,2017,295576.0
TO,2018,344634.303
TO,2019,324429.666
TO,2020,325743.81999999995
TO,2021,374105.8070000001
TO,2022,424479.07000000007
TO,2023,456683.287
