Estado,Ano,rebanho
PA,2013,19165028.0
PA,2014,19911217.0
PA,2015,20271618.0
PA,2016,20476783.0
PA,2017,20585367.0
PA,2018,20628651.0
PA,2019,20953429.0
PA,2020,22432348.0
PA,2021,23921005.0
PA,2022,24791060.0
PA,2023,25040621.0
PB,2004,1000199.0
PB,2005,1052613.0
PB,2006,1092792.0
PB,2007,1139322.0
PB,2008,1202363.0
PB,2009,1236276.0
PB,2010,1242579.0
PB,2011,1354268.0
PB,2012,967067.0
PB,2013,1048824.0
PB,2014,1145943.0
PB,2015,1170803.0
PB,2016,1187981.0
PB,2017,1202781.0
PB,2018,1240004.0
PB,2019,1293769.0
PB,2020,1344094.0
PB,2021,1371007.0
PB,2022,1371566.0
PB,2023,1412480.0
PE,2004,1705401.0
PE,2005,1909468.0
PE,2006,2095184.0
PE,2007,2219892.0
PE,2008,2249788.0
PE,2009,2297366.0
PE,2010,2383268.0
PE,2011,2502156.0
PE,2012,1895642.0
PE,2013,1823230.0
PE,2014,1920075.0
PE,2015,1948357.0
PE,2016,1895185.0
PE,2017,1804876.0
PE,2018,1862181.0
PE,2019,1937165.0
PE,2020,1882153.0
PE,2021,2173313.0
PE,2022,2280130.0
PE,2023,2456213.0
PI,2004,1830613.0
PI,2005,1826833.0
PI,2006,1838378.0
PI,2007,1736520.0
PI,2008,1750910.0
PI,2009,1682111.0
PI,2010,1679957.0
PI,2011,1688024.0
PI,2012,1689926.0
PI,2013,1666107.0
PI,2014,1660099.0
PI,2015,1649549.0
PI,2016,1639856.0
PI,2017,1625006.0
PI,2018,1464196.0
PI,2019,1447817.0
PI,2020,1431540.0
PI,2021,1421095.0
PI,2022,1407772.0
PI,2023,1384189.0
PR,2004,10278148.0
PR,2005,10153375.0
PR,2006,9764545.0
PR,2007,9494843.0
PR,2008,9585600.0
PR,2009,9562113.0
PR,2010,9411380.0
PR,2011,9475676.0
PR,2012,9413937.0
PR,2013,9395313.0
PR,2014,9181577.0
PR,2015,9314908.0
PR,2016,9487999.0
PR,2017,9370139.0
PR,2018,9275271.0
PR,2019,8972546.0
PR,2020,8460084.0
PR,2021,8084187.0
PR,2022,7951680.0
PR,2023,8774410.0
RJ,2004,2064763.0
RJ,2005,2092748.0
RJ,2006,2095666.0
RJ,2007,2078529.0
RJ,2008,2144882.0
RJ,2009,2162043.0
RJ,2010,2160727.0
RJ,2011,2179671.0
RJ,2012,2197615.0
RJ,2013,2339978.0
RJ,2014,2379648.0
RJ,2015,2351451.0
