 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2015
"Unidade da Federação";"Internações"
"11 Rondônia";13867
"12 Acre";3604
"13 Amazonas";15487
"14 Roraima";2619
"15 Pará";55944
"16 Amapá";3559
"17 Tocantins";8761
"21 Maranhão";52691
"22 Piauí";26237
"23 Ceará";47923
"24 Rio Grande do Norte";12988
"25 Paraíba";21665
"26 Pernambuco";43619
"27 Alagoas";14164
"28 Sergipe";6552
"29 Bahia";98395
"31 Minas Gerais";127993
"32 Espírito Santo";23038
"33 Rio de Janeiro";57428
"35 São Paulo";232426
"41 Paraná";97838
"42 Santa Catarina";51728
"43 Rio Grande do Sul";102730
"50 Mato Grosso do Sul";18577
"51 Mato Grosso";20010
"52 Goiás";43151
"53 Distrito Federal";14642
"Total";1217636
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
