 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2012
"Unidade da Federação";"Internações"
"11 Rondônia";11922
"12 Acre";4697
"13 Amazonas";17883
"14 Roraima";3185
"15 Pará";72604
"16 Amapá";4184
"17 Tocantins";10730
"21 Maranhão";52569
"22 Piauí";27947
"23 Ceará";42645
"24 Rio Grande do Norte";14383
"25 Paraíba";25544
"26 Pernambuco";45278
"27 Alagoas";17596
"28 Sergipe";6467
"29 Bahia";109039
"31 Minas Gerais";137574
"32 Espírito Santo";24185
"33 Rio de Janeiro";64205
"35 São Paulo";240655
"41 Paraná";113720
"42 Santa Catarina";56126
"43 Rio Grande do Sul";106216
"50 Mato Grosso do Sul";19282
"51 Mato Grosso";21800
"52 Goiás";47205
"53 Distrito Federal";17725
"Total";1315366
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
