 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2023
"Unidade da Federação";"Internações"
"11 Rondônia";15244
"12 Acre";5619
"13 Amazonas";24263
"14 Roraima";5707
"15 Pará";55294
"16 Amapá";6026
"17 Tocantins";9143
"21 Maranhão";53198
"22 Piauí";25921
"23 Ceará";65722
"24 Rio Grande do Norte";14612
"25 Paraíba";25833
"26 Pernambuco";56544
"27 Alagoas";11529
"28 Sergipe";10788
"29 Bahia";79682
"31 Minas Gerais";145045
"32 Espírito Santo";24279
"33 Rio de Janeiro";72496
"35 São Paulo";249396
"41 Paraná";98497
"42 Santa Catarina";59261
"43 Rio Grande do Sul";92488
"50 Mato Grosso do Sul";22656
"51 Mato Grosso";22469
"52 Goiás";40492
"53 Distrito Federal";22558
"Total";1314762
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
