 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2018
"Unidade da Federação";"Internações"
"11 Rondônia";13619
"12 Acre";3379
"13 Amazonas";16131
"14 Roraima";3821
"15 Pará";55169
"16 Amapá";4140
"17 Tocantins";6437
"21 Maranhão";48239
"22 Piauí";24519
"23 Ceará";51774
"24 Rio Grande do Norte";11928
"25 Paraíba";20950
"26 Pernambuco";43121
"27 Alagoas";12996
"28 Sergipe";8251
"29 Bahia";83397
"31 Minas Gerais";126278
"32 Espírito Santo";22358
"33 Rio de Janeiro";52357
"35 São Paulo";233015
"41 Paraná";98207
"42 Santa Catarina";56500
"43 Rio Grande do Sul";92807
"50 Mato Grosso do Sul";19918
"51 Mato Grosso";18807
"52 Goiás";33459
"53 Distrito Federal";16235
"Total";1177812
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
