 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2013
"Unidade da Federação";"Internações"
"11 Rondônia";14035
"12 Acre";5240
"13 Amazonas";17562
"14 Roraima";3042
"15 Pará";71922
"16 Amapá";4482
"17 Tocantins";11532
"21 Maranhão";55289
"22 Piauí";30877
"23 Ceará";47163
"24 Rio Grande do Norte";14883
"25 Paraíba";25150
"26 Pernambuco";46456
"27 Alagoas";15855
"28 Sergipe";6718
"29 Bahia";100738
"31 Minas Gerais";134191
"32 Espírito Santo";21818
"33 Rio de Janeiro";57074
"35 São Paulo";248251
"41 Paraná";110183
"42 Santa Catarina";54398
"43 Rio Grande do Sul";110141
"50 Mato Grosso do Sul";21275
"51 Mato Grosso";22783
"52 Goiás";48026
"53 Distrito Federal";17353
"Total";1316437
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
