 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Lista Morb  CID-10: Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Outras neopl malig órg respirat e intratorácicos, Outras doenças do trato respiratório superior, Outras doenças do aparelho respiratório, Outros transt respiratórios orig período perinatal
Período:2004
"Unidade da Federação";"Internações"
"11 Rondônia";1494
"12 Acre";365
"13 Amazonas";2086
"14 Roraima";156
"15 Pará";11642
"16 Amapá";329
"17 Tocantins";2377
"21 Maranhão";5239
"22 Piauí";2903
"23 Ceará";10226
"24 Rio Grande do Norte";2289
"25 Paraíba";5413
"26 Pernambuco";14128
"27 Alagoas";3758
"28 Sergipe";2071
"29 Bahia";30814
"31 Minas Gerais";24166
"32 Espírito Santo";3278
"33 Rio de Janeiro";17260
"35 São Paulo";51586
"41 Paraná";14569
"42 Santa Catarina";6728
"43 Rio Grande do Sul";22597
"50 Mato Grosso do Sul";3921
"51 Mato Grosso";4237
"52 Goiás";6358
"53 Distrito Federal";4653
"Total";254643
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
