 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Lista Morb  CID-10: Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Outras neopl malig órg respirat e intratorácicos, Outras doenças do trato respiratório superior, Outras doenças do aparelho respiratório, Outros transt respiratórios orig período perinatal
Período:2005
"Unidade da Federação";"Internações"
"11 Rondônia";1194
"12 Acre";498
"13 Amazonas";2469
"14 Roraima";177
"15 Pará";10744
"16 Amapá";258
"17 Tocantins";2189
"21 Maranhão";5720
"22 Piauí";2841
"23 Ceará";11053
"24 Rio Grande do Norte";2127
"25 Paraíba";5557
"26 Pernambuco";14996
"27 Alagoas";3994
"28 Sergipe";2015
"29 Bahia";23323
"31 Minas Gerais";25328
"32 Espírito Santo";3456
"33 Rio de Janeiro";16160
"35 São Paulo";53114
"41 Paraná";13906
"42 Santa Catarina";7326
"43 Rio Grande do Sul";22705
"50 Mato Grosso do Sul";3805
"51 Mato Grosso";4100
"52 Goiás";6558
"53 Distrito Federal";4086
"Total";249699
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
