 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2009
"Unidade da Federação";"Internações"
"11 Rondônia";14799
"12 Acre";5305
"13 Amazonas";17309
"14 Roraima";3116
"15 Pará";85702
"16 Amapá";3458
"17 Tocantins";13361
"21 Maranhão";51545
"22 Piauí";37431
"23 Ceará";64085
"24 Rio Grande do Norte";21917
"25 Paraíba";38460
"26 Pernambuco";50012
"27 Alagoas";23766
"28 Sergipe";7000
"29 Bahia";138075
"31 Minas Gerais";147639
"32 Espírito Santo";22321
"33 Rio de Janeiro";78547
"35 São Paulo";261648
"41 Paraná";134420
"42 Santa Catarina";59749
"43 Rio Grande do Sul";120183
"50 Mato Grosso do Sul";23256
"51 Mato Grosso";30404
"52 Goiás";63190
"53 Distrito Federal";18255
"Total";1534953
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
