 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2010
"Unidade da Federação";"Internações"
"11 Rondônia";14390
"12 Acre";4434
"13 Amazonas";18447
"14 Roraima";3171
"15 Pará";81401
"16 Amapá";2847
"17 Tocantins";12737
"21 Maranhão";56432
"22 Piauí";33335
"23 Ceará";49775
"24 Rio Grande do Norte";17014
"25 Paraíba";34049
"26 Pernambuco";46085
"27 Alagoas";22029
"28 Sergipe";7436
"29 Bahia";129998
"31 Minas Gerais";141041
"32 Espírito Santo";20786
"33 Rio de Janeiro";78036
"35 São Paulo";255172
"41 Paraná";130368
"42 Santa Catarina";54385
"43 Rio Grande do Sul";116162
"50 Mato Grosso do Sul";22913
"51 Mato Grosso";26427
"52 Goiás";56646
"53 Distrito Federal";16989
"Total";1452505
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
