 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2021
"Unidade da Federação";"Internações"
"11 Rondônia";6657
"12 Acre";2829
"13 Amazonas";15204
"14 Roraima";3792
"15 Pará";34502
"16 Amapá";3125
"17 Tocantins";4634
"21 Maranhão";32773
"22 Piauí";17073
"23 Ceará";32653
"24 Rio Grande do Norte";9190
"25 Paraíba";12527
"26 Pernambuco";29627
"27 Alagoas";9371
"28 Sergipe";5889
"29 Bahia";46609
"31 Minas Gerais";81565
"32 Espírito Santo";18916
"33 Rio de Janeiro";46765
"35 São Paulo";166677
"41 Paraná";49455
"42 Santa Catarina";33898
"43 Rio Grande do Sul";54993
"50 Mato Grosso do Sul";11882
"51 Mato Grosso";10866
"52 Goiás";18454
"53 Distrito Federal";13727
"Total";773653
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
