 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2019
"Unidade da Federação";"Internações"
"11 Rondônia";13180
"12 Acre";3305
"13 Amazonas";16651
"14 Roraima";3900
"15 Pará";55035
"16 Amapá";5164
"17 Tocantins";7216
"21 Maranhão";47518
"22 Piauí";24934
"23 Ceará";55094
"24 Rio Grande do Norte";11713
"25 Paraíba";22580
"26 Pernambuco";48076
"27 Alagoas";12615
"28 Sergipe";8037
"29 Bahia";82562
"31 Minas Gerais";129818
"32 Espírito Santo";21718
"33 Rio de Janeiro";53656
"35 São Paulo";228719
"41 Paraná";95708
"42 Santa Catarina";56336
"43 Rio Grande do Sul";92025
"50 Mato Grosso do Sul";20249
"51 Mato Grosso";19665
"52 Goiás";35937
"53 Distrito Federal";19539
"Total";1190950
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
