 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2022
"Unidade da Federação";"Internações"
"11 Rondônia";13876
"12 Acre";4627
"13 Amazonas";20635
"14 Roraima";4529
"15 Pará";53283
"16 Amapá";4775
"17 Tocantins";7936
"21 Maranhão";53425
"22 Piauí";24412
"23 Ceará";59697
"24 Rio Grande do Norte";13274
"25 Paraíba";22434
"26 Pernambuco";53994
"27 Alagoas";11552
"28 Sergipe";10227
"29 Bahia";74655
"31 Minas Gerais";139887
"32 Espírito Santo";23649
"33 Rio de Janeiro";69934
"35 São Paulo";236792
"41 Paraná";91093
"42 Santa Catarina";56463
"43 Rio Grande do Sul";93525
"50 Mato Grosso do Sul";21682
"51 Mato Grosso";19711
"52 Goiás";33372
"53 Distrito Federal";20863
"Total";1240302
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
