 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2020
"Unidade da Federação";"Internações"
"11 Rondônia";6513
"12 Acre";2151
"13 Amazonas";10991
"14 Roraima";2527
"15 Pará";36645
"16 Amapá";2288
"17 Tocantins";5199
"21 Maranhão";30326
"22 Piauí";16543
"23 Ceará";30056
"24 Rio Grande do Norte";7946
"25 Paraíba";11466
"26 Pernambuco";26377
"27 Alagoas";8223
"28 Sergipe";5318
"29 Bahia";47606
"31 Minas Gerais";86124
"32 Espírito Santo";15564
"33 Rio de Janeiro";42235
"35 São Paulo";167983
"41 Paraná";56920
"42 Santa Catarina";31682
"43 Rio Grande do Sul";51527
"50 Mato Grosso do Sul";12666
"51 Mato Grosso";11452
"52 Goiás";22624
"53 Distrito Federal";11977
"Total";760929
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
