 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2024
"Unidade da Federação";"Internações"
"11 Rondônia";14832
"12 Acre";5039
"13 Amazonas";22548
"14 Roraima";5139
"15 Pará";51358
"16 Amapá";5671
"17 Tocantins";9326
"21 Maranhão";49622
"22 Piauí";23383
"23 Ceará";65230
"24 Rio Grande do Norte";14969
"25 Paraíba";30111
"26 Pernambuco";57792
"27 Alagoas";10677
"28 Sergipe";10729
"29 Bahia";83144
"31 Minas Gerais";161616
"32 Espírito Santo";26802
"33 Rio de Janeiro";70410
"35 São Paulo";261843
"41 Paraná";106654
"42 Santa Catarina";67524
"43 Rio Grande do Sul";96544
"50 Mato Grosso do Sul";22046
"51 Mato Grosso";24191
"52 Goiás";40261
"53 Distrito Federal";22301
"Total";1359762
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
