 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2008
"Unidade da Federação";"Internações"
"11 Rondônia";10751
"12 Acre";4548
"13 Amazonas";16647
"14 Roraima";2303
"15 Pará";73182
"16 Amapá";2945
"17 Tocantins";12468
"21 Maranhão";38752
"22 Piauí";30329
"23 Ceará";58152
"24 Rio Grande do Norte";17588
"25 Paraíba";35039
"26 Pernambuco";47467
"27 Alagoas";23115
"28 Sergipe";7187
"29 Bahia";124533
"31 Minas Gerais";145087
"32 Espírito Santo";20771
"33 Rio de Janeiro";75890
"35 São Paulo";232173
"41 Paraná";119086
"42 Santa Catarina";52511
"43 Rio Grande do Sul";112177
"50 Mato Grosso do Sul";20507
"51 Mato Grosso";26893
"52 Goiás";58640
"53 Distrito Federal";17965
"Total";1386706
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
