 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2016
"Unidade da Federação";"Internações"
"11 Rondônia";12328
"12 Acre";3633
"13 Amazonas";14314
"14 Roraima";3192
"15 Pará";50700
"16 Amapá";3302
"17 Tocantins";6473
"21 Maranhão";38401
"22 Piauí";23653
"23 Ceará";42502
"24 Rio Grande do Norte";11198
"25 Paraíba";20066
"26 Pernambuco";41054
"27 Alagoas";13510
"28 Sergipe";6855
"29 Bahia";80928
"31 Minas Gerais";122655
"32 Espírito Santo";22164
"33 Rio de Janeiro";52142
"35 São Paulo";237724
"41 Paraná";100178
"42 Santa Catarina";55702
"43 Rio Grande do Sul";104060
"50 Mato Grosso do Sul";20819
"51 Mato Grosso";20182
"52 Goiás";36363
"53 Distrito Federal";13743
"Total";1157841
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
