 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2011
"Unidade da Federação";"Internações"
"11 Rondônia";13953
"12 Acre";5023
"13 Amazonas";17738
"14 Roraima";2743
"15 Pará";80196
"16 Amapá";4051
"17 Tocantins";13427
"21 Maranhão";63782
"22 Piauí";34659
"23 Ceará";55196
"24 Rio Grande do Norte";17123
"25 Paraíba";29865
"26 Pernambuco";49060
"27 Alagoas";21424
"28 Sergipe";6236
"29 Bahia";122777
"31 Minas Gerais";137433
"32 Espírito Santo";22592
"33 Rio de Janeiro";69231
"35 São Paulo";254736
"41 Paraná";118918
"42 Santa Catarina";56330
"43 Rio Grande do Sul";108657
"50 Mato Grosso do Sul";21322
"51 Mato Grosso";24392
"52 Goiás";52097
"53 Distrito Federal";17016
"Total";1419977
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
