 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2014
"Unidade da Federação";"Internações"
"11 Rondônia";15241
"12 Acre";4974
"13 Amazonas";16182
"14 Roraima";3040
"15 Pará";63870
"16 Amapá";4057
"17 Tocantins";10398
"21 Maranhão";51950
"22 Piauí";29330
"23 Ceará";47711
"24 Rio Grande do Norte";12171
"25 Paraíba";23688
"26 Pernambuco";45016
"27 Alagoas";13292
"28 Sergipe";5899
"29 Bahia";97687
"31 Minas Gerais";132311
"32 Espírito Santo";21691
"33 Rio de Janeiro";54994
"35 São Paulo";235154
"41 Paraná";102447
"42 Santa Catarina";52850
"43 Rio Grande do Sul";103437
"50 Mato Grosso do Sul";19959
"51 Mato Grosso";21842
"52 Goiás";44033
"53 Distrito Federal";14711
"Total";1247935
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
