Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2026*,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL INDUSTRIAL,15.794.018,15.727.145,,,,,,,,,,,31.521.163
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
TOTAL INDUSTRIAL,14.944.847,14.672.480,15.984.520,15.839.087,15.748.207,15.641.231,15.709.722,16.133.823,15.984.233,16.242.867,16.059.920,15.680.544,188.641.480
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,1.422.648,1.294.358,1.459.779,1.387.132,1.458.824,1.404.938,1.449.204,1.465.551,1.476.622,1.458.835,1.362.076,1.406.046,17.046.014
Nordeste,2.231.875,2.157.925,2.363.389,2.335.294,2.320.206,2.301.599,2.240.187,2.343.282,2.370.687,2.406.467,2.332.056,2.346.709,27.749.676
Sudeste,7.613.547,7.601.957,8.087.626,8.091.185,8.016.212,8.051.599,8.112.479,8.276.470,8.164.225,8.374.185,8.360.687,8.137.734,96.887.905
Sul,2.821.908,2.775.614,3.188.636,3.118.180,3.047.364,2.984.613,3.013.328,3.094.354,3.047.356,3.061.151,3.076.842,2.892.715,36.122.060
Centro-Oeste,854.869,842.627,885.091,907.296,905.601,898.483,894.525,954.164,925.342,942.230,928.259,897.341,10.835.826
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,11.671,10.251,11.635,11.257,11.481,9.885,10.743,11.081,10.208,10.448,10.761,9.595,129.016
Norte,1.800.224,1.665.859,1.905.098,1.832.571,1.907.134,1.818.904,1.884.853,1.902.750,1.897.892,1.912.066,1.819.721,1.896.567,22.243.641
Nordeste,1.798.133,1.733.442,1.860.044,1.833.249,1.812.744,1.831.143,1.746.177,1.844.475,1.889.682,1.893.514,1.814.648,1.797.262,21.854.514
Sudeste/C. Oeste,8.512.910,8.487.314,9.019.108,9.043.829,8.969.484,8.996.687,9.054.621,9.281.162,9.139.094,9.365.689,9.337.947,9.084.406,108.292.251
Sul,2.821.908,2.775.614,3.188.636,3.118.180,3.047.364,2.984.613,3.013.328,3.094.354,3.047.356,3.061.151,3.076.842,2.892.715,36.122.060
,,,,,,,,,,,,,
,2022,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL INDUSTRIAL,14.779.187,14.446.160,15.496.093,15.443.307,15.520.905,15.380.382,15.811.839,16.022.182,15.693.488,15.719.658,15.412.897,14.924.489,184.650.586
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,1.329.963,1.157.059,1.245.408,1.220.482,1.301.786,1.338.743,1.434.485,1.470.434,1.382.033,1.406.311,1.397.504,1.418.518,16.102.727
Nordeste,1.912.227,1.855.499,1.974.049,1.967.424,1.942.639,1.967.209,2.119.599,2.179.496,2.120.720,2.211.524,2.152.785,2.144.874,24.548.045
Sudeste,7.806.272,7.655.392,8.275.731,8.334.289,8.345.363,8.124.391,8.270.863,8.335.418,8.241.267,8.239.362,8.038.234,7.684.234,97.350.816
Sul,2.894.819,2.955.255,3.130.320,3.031.470,3.042.105,3.035.174,3.079.402,3.107.917,3.025.423,2.969.397,2.950.150,2.812.410,36.033.843
Centro-Oeste,835.906,822.954,870.585,889.642,889.011,914.864,907.489,928.916,924.045,893.064,874.224,864.454,10.615.154
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,11.804,11.821,11.842,11.754,11.514,10.428,12.093,13.002,13.057,12.176,13.024,12.641,145.155
Norte,1.416.707,1.234.003,1.318.658,1.303.725,1.405.586,1.471.818,1.611.343,1.686.140,1.628.228,1.698.868,1.716.312,1.774.420,18.265.809
Nordeste,1.773.864,1.727.625,1.846.067,1.831.424,1.785.721,1.780.748,1.885.637,1.903.706,1.815.808,1.860.318,1.777.212,1.730.898,21.719.029
Sudeste/C. Oeste,8.681.993,8.517.456,9.189.206,9.264.933,9.275.979,9.082.214,9.223.363,9.311.415,9.210.972,9.178.898,8.956.199,8.594.121,108.486.750
Sul,2.894.819,2.955.255,3.130.320,3.031.470,3.042.105,3.035.174,3.079.402,3.107.917,3.025.423,2.969.397,2.950.150,2.812.410,36.033.843
,,,,,,,,,,,,,
,2021,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL INDUSTRIAL,14.836.119,14.399.590,15.600.338,15.219.416,15.279.953,15.009.378,15.314.354,15.451.804,15.177.518,15.548.176,15.362.234,15.086.653,182.285.532
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,1.272.228,1.212.474,1.316.987,1.318.890,1.366.299,1.313.691,1.337.178,1.338.244,1.300.253,1.329.457,1.335.306,1.351.313,15.792.320
Nordeste,1.926.177,1.844.217,1.957.139,1.878.447,1.950.544,1.863.146,1.985.871,2.002.008,1.917.836,1.990.454,1.978.895,2.029.567,23.324.302
Sudeste,8.018.282,7.688.680,8.391.607,8.106.676,8.047.204,7.998.327,8.071.368,8.131.905,8.106.226,8.306.060,8.173.292,7.969.826,97.009.452
Sul,2.817.139,2.849.240,3.060.929,3.072.821,3.032.619,2.962.469,3.034.384,3.079.723,2.987.847,3.024.961,2.996.676,2.864.115,35.782.924
Centro-Oeste,802.293,804.979,873.675,842.582,883.287,871.745,885.554,899.923,865.356,897.244,878.064,871.831,10.376.534
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,14.331,13.939,13.664,14.600,15.307,11.978,12.237,12.966,13.290,13.477,12.823,12.503,161.115
Norte,1.346.547,1.280.508,1.389.664,1.382.370,1.435.830,1.404.283,1.438.921,1.439.978,1.408.320,1.436.824,1.443.132,1.453.789,16.860.166
Nordeste,1.801.889,1.724.459,1.838.387,1.761.246,1.826.176,1.720.060,1.830.905,1.844.752,1.760.045,1.829.272,1.818.357,1.871.376,21.626.922
Sudeste/C. Oeste,8.856.213,8.531.444,9.297.694,8.988.379,8.970.021,8.910.587,8.997.907,9.074.385,9.008.015,9.243.642,9.091.246,8.884.870,107.854.405
Sul,2.817.139,2.849.240,3.060.929,3.072.821,3.032.619,2.962.469,3.034.384,3.079.723,2.987.847,3.024.961,2.996.676,2.864.115,35.782.924
,,,,,,,,,,,,,
,2020,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL INDUSTRIAL,13.532.920,13.898.133,14.140.857,12.177.887,12.327.160,12.564.696,13.928.111,14.554.383,14.666.382,15.280.670,14.769.749,14.685.965,166.526.913
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,1.272.481,1.200.039,1.170.714,1.075.535,1.119.415,1.144.999,1.214.069,1.280.313,1.259.860,1.316.382,1.242.216,1.276.704,14.572.727
Nordeste,1.830.926,1.796.787,1.767.783,1.446.753,1.583.032,1.641.778,1.830.614,1.821.716,1.887.673,2.008.445,1.828.391,1.850.207,21.294.105
Sudeste,7.075.127,7.341.090,7.587.633,6.503.650,6.357.406,6.477.439,7.279.626,7.697.947,7.723.167,8.042.503,7.878.698,7.832.770,87.797.055
Sul,2.562.605,2.769.213,2.775.843,2.377.962,2.420.716,2.465.185,2.734.190,2.855.864,2.918.141,3.008.370,2.967.757,2.875.938,32.731.784
Centro-Oeste,791.781,791.004,838.884,773.987,846.591,835.295,869.612,898.543,877.542,904.970,852.685,850.347,10.131.241
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,14.284,16.152,15.854,14.115,13.760,14.655,15.848,16.612,17.685,17.987,16.324,16.708,189.983
Norte,1.335.562,1.252.463,1.233.726,1.151.768,1.207.674,1.225.722,1.283.996,1.360.312,1.338.975,1.414.600,1.332.733,1.354.631,15.492.160
Nordeste,1.717.282,1.688.260,1.649.884,1.319.554,1.442.307,1.508.272,1.700.871,1.682.266,1.749.294,1.850.041,1.679.606,1.713.623,19.701.259
Sudeste/C. Oeste,7.903.188,8.172.046,8.465.551,7.314.488,7.242.703,7.350.862,8.193.205,8.639.330,8.642.288,8.989.672,8.773.327,8.725.065,98.411.725
Sul,2.562.605,2.769.213,2.775.843,2.377.962,2.420.716,2.465.185,2.734.190,2.855.864,2.918.141,3.008.370,2.967.757,2.875.938,32.731.784
,,,,,,,,,,,,,
,2019,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL INDUSTRIAL,13.932.975,13.573.678,14.069.727,13.930.328,14.236.169,13.864.739,14.110.152,14.195.967,13.901.255,14.436.008,14.217.777,13.610.438,168.079.213
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,1.057.234,939.392,1.048.819,992.356,1.061.170,1.090.462,1.152.863,1.195.972,1.165.927,1.232.302,1.226.541,1.255.438,13.418.475
Nordeste,1.913.422,1.827.727,1.876.984,1.838.424,1.903.124,1.782.656,1.865.570,1.808.372,1.718.478,1.850.482,1.802.731,1.858.488,22.046.459
Sudeste,7.545.070,7.285.406,7.556.147,7.494.815,7.597.072,7.384.031,7.422.534,7.466.117,7.411.806,7.616.448,7.523.365,7.086.548,89.389.361
Sul,2.642.386,2.743.684,2.816.690,2.852.119,2.865.287,2.823.337,2.843.577,2.874.831,2.770.419,2.881.483,2.839.877,2.619.961,33.573.651
Centro-Oeste,774.862,777.469,771.087,752.614,809.515,784.253,825.609,850.675,834.626,855.293,825.262,790.003,9.651.268
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,11.271,11.561,11.555,12.241,13.029,12.383,12.089,12.226,13.080,12.258,11.858,11.621,145.171
Norte,1.122.440,1.006.984,1.119.944,1.047.707,1.133.380,1.177.059,1.237.328,1.288.629,1.248.844,1.315.982,1.314.558,1.347.816,14.360.671
Nordeste,1.798.174,1.712.018,1.756.199,1.733.556,1.779.241,1.647.817,1.727.994,1.664.107,1.582.891,1.715.338,1.664.478,1.715.929,20.497.744
Sudeste/C. Oeste,8.358.703,8.099.431,8.365.339,8.284.706,8.445.232,8.204.143,8.289.163,8.356.174,8.286.021,8.510.947,8.387.005,7.915.111,99.501.976
Sul,2.642.386,2.743.684,2.816.690,2.852.119,2.865.287,2.823.337,2.843.577,2.874.831,2.770.419,2.881.483,2.839.877,2.619.961,33.573.651
,,,,,,,,,,,,,
,2018,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL INDUSTRIAL,13.899.978,13.563.426,14.731.275,14.377.500,13.863.365,13.778.380,14.523.395,14.681.558,14.164.491,14.658.947,14.408.593,13.795.692,170.446.600
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,1.293.989,1.193.865,1.311.227,1.110.103,1.048.149,1.000.829,1.064.459,1.035.203,1.038.595,1.055.637,1.019.286,1.040.528,13.211.871
Nordeste,1.800.275,1.644.819,1.789.713,1.839.949,1.882.090,1.855.248,1.975.825,1.955.744,1.853.612,1.954.218,1.932.931,1.920.702,22.405.125
Sudeste,7.501.076,7.369.264,7.991.016,7.809.458,7.500.253,7.475.379,7.787.509,7.912.206,7.704.668,7.928.694,7.869.265,7.421.566,92.270.353
Sul,2.575.496,2.663.982,2.872.037,2.842.024,2.674.304,2.670.181,2.883.591,2.930.804,2.750.727,2.869.422,2.787.197,2.614.440,33.134.205
Centro-Oeste,729.142,691.496,767.282,775.967,758.568,776.742,812.012,847.602,816.889,850.976,799.915,798.456,9.425.046
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,11.570,11.979,12.989,13.148,11.922,11.441,12.303,12.861,13.112,13.630,13.539,11.804,150.297
Norte,1.344.698,1.230.804,1.364.773,1.156.893,1.096.360,1.051.819,1.131.934,1.101.732,1.098.062,1.121.182,1.086.984,1.114.853,13.900.095
Nordeste,1.702.904,1.561.694,1.684.687,1.741.627,1.785.572,1.754.417,1.855.435,1.835.471,1.743.031,1.833.304,1.812.388,1.797.525,21.108.056
Sudeste/C. Oeste,8.265.310,8.094.967,8.796.790,8.623.809,8.295.207,8.290.521,8.640.131,8.800.690,8.559.558,8.821.409,8.708.485,8.257.070,102.153.947
Sul,2.575.496,2.663.982,2.872.037,2.842.024,2.674.304,2.670.181,2.883.591,2.930.804,2.750.727,2.869.422,2.787.197,2.614.440,33.134.205
,,,,,,,,,,,,,
,2017,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL INDUSTRIAL,13.191.281,13.490.697,13.936.740,14.182.043,13.665.161,14.016.598,14.060.982,14.328.335,14.305.153,14.262.602,14.409.392,14.180.954,168.029.937
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,1.267.995,1.145.929,1.277.627,1.215.167,1.296.350,1.253.966,1.319.608,1.321.958,1.251.426,1.314.996,1.266.066,1.273.070,15.204.158
Nordeste,1.870.861,1.732.098,1.946.620,1.793.090,1.809.520,1.854.754,1.944.318,1.950.053,1.841.089,1.945.105,1.889.999,1.870.541,22.448.048
Sudeste,6.924.323,7.267.815,7.183.812,7.630.039,7.100.244,7.426.304,7.296.435,7.451.707,7.616.037,7.481.015,7.737.430,7.612.805,88.727.968
Sul,2.408.021,2.655.570,2.770.831,2.808.803,2.693.959,2.725.576,2.717.957,2.819.215,2.804.174,2.739.415,2.752.129,2.675.858,32.571.509
Centro-Oeste,720.082,689.285,757.850,734.944,765.088,755.997,782.663,785.402,792.427,782.070,763.768,748.679,9.078.253
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,11.557,10.436,10.883,11.009,12.096,11.473,10.947,12.763,12.361,13.525,12.783,11.678,141.511
Norte,1.313.508,1.179.956,1.347.486,1.261.436,1.332.899,1.290.480,1.359.712,1.375.644,1.306.434,1.358.705,1.316.847,1.338.283,15.781.390
Nordeste,1.781.562,1.653.836,1.831.832,1.703.954,1.724.042,1.770.866,1.856.517,1.845.174,1.737.361,1.848.861,1.787.242,1.755.698,21.296.945
Sudeste/C. Oeste,7.676.634,7.990.899,7.975.708,8.396.841,7.902.165,8.218.202,8.115.849,8.275.539,8.444.823,8.302.095,8.540.391,8.399.436,98.238.581
Sul,2.408.021,2.655.570,2.770.831,2.808.803,2.693.959,2.725.576,2.717.957,2.819.215,2.804.174,2.739.415,2.752.129,2.675.858,32.571.509
,,,,,,,,,,,,,
,2016,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL INDUSTRIAL,12.660.788,13.525.484,13.963.207,14.014.424,13.976.250,13.921.931,14.125.552,14.261.662,14.091.870,13.972.943,13.951.649,13.544.246,166.010.005
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,1.215.996,1.198.859,1.304.121,1.196.602,1.277.905,1.208.497,1.287.561,1.264.582,1.266.014,1.285.887,1.278.865,1.255.955,15.040.844
Nordeste,1.817.348,1.797.474,1.945.650,1.805.235,1.965.126,1.917.001,2.001.707,1.965.280,1.894.791,1.903.757,1.893.107,1.853.081,22.759.558
Sudeste,6.678.700,7.198.404,7.306.778,7.507.463,7.338.229,7.395.683,7.423.662,7.555.664,7.540.403,7.456.992,7.434.144,7.170.266,88.006.388
Sul,2.240.882,2.596.982,2.648.571,2.735.533,2.639.247,2.649.363,2.644.945,2.675.110,2.642.223,2.562.183,2.620.876,2.555.445,31.211.359
Centro-Oeste,707.862,733.765,758.087,769.591,755.743,751.387,767.677,801.027,748.439,764.124,724.656,709.499,8.991.856
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,11.952,12.218,13.572,11.509,11.842,11.859,12.411,13.272,14.789,13.027,11.628,10.471,148.550
Norte,1.249.834,1.228.046,1.356.571,1.251.768,1.314.697,1.240.713,1.328.156,1.322.746,1.323.601,1.330.349,1.336.616,1.301.294,15.584.391
Nordeste,1.738.414,1.719.979,1.844.112,1.703.343,1.879.464,1.836.876,1.913.056,1.858.455,1.789.868,1.811.857,1.786.868,1.762.221,21.644.514
Sudeste/C. Oeste,7.419.706,7.968.259,8.100.381,8.312.271,8.131.000,8.183.119,8.226.984,8.392.080,8.321.389,8.255.527,8.195.660,7.914.815,97.421.191
Sul,2.240.882,2.596.982,2.648.571,2.735.533,2.639.247,2.649.363,2.644.945,2.675.110,2.642.223,2.562.183,2.620.876,2.555.445,31.211.359
,,,,,,,,,,,,,
,2015,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL INDUSTRIAL,13.761.327,14.450.816,14.599.171,14.646.917,14.338.931,14.183.822,13.958.840,14.291.719,14.008.246,14.158.912,13.912.422,13.409.600,169.720.724
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,1.236.241,1.144.326,1.249.395,1.198.513,1.255.339,1.216.684,1.269.982,1.284.346,1.268.086,1.280.572,1.230.461,1.251.870,14.885.816
Nordeste,2.138.825,2.037.187,2.221.002,2.042.117,2.025.754,1.977.044,1.935.113,1.997.899,1.870.035,1.949.258,1.895.428,1.840.799,23.930.460
Sudeste,7.344.251,7.831.952,7.736.995,7.917.888,7.666.695,7.623.856,7.453.325,7.615.559,7.514.243,7.532.546,7.404.271,7.100.174,90.741.755
Sul,2.364.735,2.730.946,2.637.162,2.758.169,2.648.654,2.637.245,2.559.948,2.648.852,2.592.008,2.590.597,2.624.314,2.495.155,31.287.785
Centro-Oeste,677.274,706.405,754.617,730.231,742.489,728.994,740.471,745.063,763.875,805.939,757.947,721.603,8.874.908
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
