"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variável - Área plantada ou destinada à colheita (Hectares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grande Região,Ano x Produto das lavouras temporárias e permanentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
Norte,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1682423,2360519,1968752,1967119,2257442,2202295,2413668,2450271,2192795,2188283,2330816,2569803,2593279,2378826,2336558,2559701,2773227,3033064,2861710,2765128,2793420,2699320,2744661,2897803,2873068,2972418,3232726,3627845,3759487,4029599,4043178,4312330,4712142,5099747,5550519,6203160,6622543
Nordeste,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14685229,14321937,12934412,13490443,13550964,11509921,13589143,13278429,10706352,11176586,10029114,10822960,11520564,11101459,11770917,11974671,12603737,12589083,12853423,12858841,13281366,13174841,12431859,13319788,11985080,11448321,12501736,12249884,11419435,11336911,11277738,11049599,11134821,11430510,11916290,12361075,12393933
Sudeste,...,...,...,...,...,...,...,...,...,...,...,...,...,...,12738304,12586765,12188201,12174413,12087219,11326494,11667910,11359773,10791387,10974669,11069424,11277375,10819058,10916093,11163829,11750700,12355967,12522930,12574587,12388192,13273224,13369324,13566509,13770951,13938086,14287231,14628759,14707236,14905786,14821058,14683115,15170061,15374638,15504293,16053282,16611871,16628055
Sul,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18949173,18807454,18574922,17592576,17320180,16942083,17097150,16565732,15852223,16059168,16303781,16447227,16801974,16999722,17839859,19222360,19877715,19551251,18999297,19156536,19662177,19875924,19318966,19671886,19870018,20857716,21386148,21186782,21243901,21299307,21065460,21400782,21909491,22658752,23786970,23856131,23677859
Centro-Oeste,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8691398,8338615,7486159,6528527,7057774,7245959,8047159,8198905,7279057,7903699,8775939,9583329,10084250,10241067,11400466,12953551,15426320,16622985,15274892,15170033,16517617,16602185,17312596,18497595,20555251,22874728,24481495,25179522,26008659,27503335,27516704,29277085,30252884,31897339,33994538,37167419,38013731
Fonte: IBGE - Produção Agrícola Municipal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
